ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Camby, Marcus DEN",79,79,34.9,13,109.7,98.3,0.498,0.455,31.8,3.1,9.2,31.1,20.3,12.90%,1.50%,7.30%,14.00%
"2 Smith, Josh ATL",81,81,35.5,25,101.6,102.6,0.52,0.468,41.4,8.7,6.6,20.4,13.5,16.60%,2.30%,5.90%,15.50%
"3 Blatche, Andray WSH",82,15,20.4,19.7,103,105.5,0.512,0.477,28.7,2.4,11.2,18.8,14.9,9.20%,1.70%,5.70%,15.60%
"4 Dalembert, Samuel PHI",82,82,33.2,15.4,108.6,103,0.556,0.513,39.8,0.2,13.1,24,18.5,2.50%,0.80%,5.60%,16.60%
"5 Kaman, Chris LAC",56,55,37.2,21.7,100.2,103.2,0.538,0.483,37.9,0.6,9.5,30,19.7,9.30%,0.80%,5.60%,16.70%
"6 Haywood, Brendan WSH",80,80,27.9,17.3,119,109,0.582,0.528,49.1,0,14,16.4,15.2,5.20%,0.70%,5.00%,12.90%
"7 Milicic, Darko MEM",70,64,23.8,17.5,90.9,108.1,0.456,0.438,24.2,0.2,8.5,20.2,14.3,5.40%,1.00%,5.00%,15.40%
"8 Perkins, Kendrick BOS",78,78,24.5,13.5,110.3,97.3,0.632,0.615,52.6,0.3,9.6,19.3,14.8,6.80%,0.90%,4.90%,22.60%
"9 Dampier, Erick DAL",72,64,24.4,11.2,123.3,102.9,0.645,0.643,52.7,0,14.1,21.2,17.8,5.40%,0.70%,4.40%,19.00%
"10 Duncan, Tim SA",78,78,34,28.2,109.6,96.6,0.546,0.497,39.3,0.3,10.7,28.3,19.6,15.70%,1.10%,4.30%,11.40%
"11 Wallace, Rasheed DET",77,76,30.5,20.5,108,98.1,0.523,0.497,17.2,36.2,4.3,21.8,13,9.70%,2.10%,4.30%,8.40%
"12 Ilgauskas, Zydrunas CLE",73,73,30.4,22.9,108.2,104,0.522,0.474,27.6,0.1,13.1,22.2,17.5,8.50%,0.80%,4.30%,12.00%
"13 Maxiell, Jason DET",82,7,21.6,17,117.5,102.6,0.576,0.538,60.5,0.2,11.9,17.4,14.6,4.20%,0.70%,4.20%,11.20%
"14 Howard, Dwight ORL",82,82,37.7,24.2,113.1,98.7,0.619,0.599,92.1,0.4,10.9,31.6,21.7,6.10%,1.20%,4.20%,16.10%
"15 Moon, Jamario TOR",78,75,27.8,14.4,110.5,102.4,0.54,0.52,14.8,21.2,5,21.6,13.2,6.20%,2.00%,4.00%,7.70%
"16 Kirilenko, Andrei UTA",72,72,30.8,16.1,117.5,105.4,0.603,0.546,47.2,21.3,6.7,11.9,9.3,18.20%,2.00%,4.00%,17.60%
"17 Stoudemire, Amar'e PHX",79,79,33.9,28.2,124.3,104.4,0.656,0.592,57.1,2.6,8.2,21.1,15.2,7.50%,1.20%,4.00%,10.30%
"18 Przybilla, Joel POR",77,67,23.6,10.4,111,103.7,0.611,0.576,48.8,0.4,12.7,29.3,21,2.30%,0.40%,4.00%,23.80%
"19 Ming, Yao HOU",55,55,37.2,27.1,111.6,99.3,0.587,0.507,47.7,0.2,9.6,22.9,16.4,11.50%,0.60%,4.00%,15.10%
"20 Bogut, Andrew MIL",78,78,34.9,20.2,106.5,109.2,0.532,0.511,35.4,0.8,10.2,23.4,16.5,12.40%,1.20%,3.90%,14.10%
"21 Okafor, Emeka CHA",82,82,33.1,20,105.7,105,0.553,0.535,43.5,0,10.7,26.4,18.5,4.50%,1.20%,3.90%,13.80%
"22 Millsap, Paul UTA",82,2,20.8,18.1,112.2,102.8,0.548,0.504,45.6,0.8,12.1,20.8,16.5,7.00%,2.20%,3.50%,12.60%
"23 Biedrins, Andris GS",76,59,27.4,14.4,127.4,105.7,0.637,0.626,34.4,0,12.6,26.1,19.1,5.20%,1.30%,3.30%,12.00%
"24 Noah, Joakim CHI",74,31,20.7,15.6,108.9,103.7,0.539,0.482,52.9,0.3,12.4,18.4,15.3,8.60%,2.30%,3.30%,16.40%
"25 Jefferson, Al MIN",82,82,35.6,27.5,109.1,108,0.535,0.5,27.3,0.3,11.9,24.7,18.1,7.50%,1.30%,3.20%,9.40%
"26 Garnett, Kevin BOS",71,71,32.8,25.5,117.7,93.8,0.588,0.539,33.9,1.1,7.3,25.1,16.8,19.90%,2.30%,3.10%,10.80%
"27 Martin, Kenyon DEN",71,71,30.4,17.4,107.9,104.4,0.553,0.539,30.3,1.6,5.4,17.5,11.6,6.30%,2.00%,2.80%,10.30%
"28 Aldridge, LaMarcus POR",76,76,34.9,25.3,107.7,107.4,0.523,0.484,25.7,0.6,9.8,15.8,12.8,8.80%,1.10%,2.80%,8.90%
"29 West, David NO",76,76,37.8,26.3,108.7,104.4,0.535,0.484,27,1.9,7.2,20.6,13.7,10.60%,1.20%,2.70%,10.20%
"30 Jianlian, Yi MIL",66,49,25,18.4,98.3,111.7,0.485,0.427,27.9,4,7.3,17.7,12.3,5.30%,1.10%,2.70%,13.40%
"31 Boone, Josh NJ",70,53,25.3,15.4,110,107.6,0.543,0.548,50,0,12.5,20.8,16.6,5.30%,1.10%,2.70%,11.40%
"32 Chandler, Tyson NO",79,79,35.2,14.5,121.5,103.8,0.632,0.623,48.8,0.2,13.2,26.1,19.5,4.40%,0.90%,2.40%,15.60%
"33 Miller, Brad SAC",72,72,34.9,18.3,111.9,107.2,0.558,0.482,42.4,12.4,8,23.7,16,16.60%,1.40%,2.30%,16.00%
"34 Bass, Brandon DAL",79,1,19.7,19.8,112.1,106.1,0.564,0.499,40,0.8,9.2,16.3,12.9,6.10%,0.80%,2.30%,12.40%
"35 Battier, Shane HOU",80,78,36.3,11.7,116.6,102.9,0.561,0.54,16.3,59.6,5.2,10.5,7.9,8.00%,1.40%,2.30%,10.50%
