ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Green, Draymond GS",76,76,32.5,16.2,110.5,98.9,0.522,0.481,23.2,40.5,4.7,20.9,13.3,27.60%,3.00%,3.40%,19.80%
"1 Gobert, Rudy UTA",81,81,33.9,16.7,129.1,98.9,0.681,0.661,49.8,0.2,13.6,29.5,21.8,5.80%,0.90%,6.40%,15.00%
"3 Drummond, Andre DET",81,81,29.7,22.4,104.3,99.3,0.518,0.531,15,0.8,15.1,36.2,25.2,6.00%,2.60%,3.10%,12.50%
"4 Whiteside, Hassan MIA",77,77,32.6,22.6,112.7,99.8,0.579,0.557,23.1,0,12.8,35.3,24,3.80%,1.10%,5.00%,12.00%
"5 Howard, Dwight ATL",74,74,29.7,19.1,114.7,100.4,0.627,0.633,36.9,0.3,15,31.7,23.5,7.80%,1.40%,3.60%,17.50%
"6 Davis, Anthony NO",75,75,36.1,32.6,112,101.2,0.58,0.518,34,8.8,6.7,27.9,17.2,11.10%,1.70%,5.10%,9.10%
"7 Durant, Kevin GS",62,62,33.4,27.6,124.9,101.5,0.651,0.594,32.7,30.4,2.2,23.6,13.6,22.80%,1.50%,3.80%,10.40%
"8 Jordan, DeAndre LAC",81,81,31.7,15.3,129.3,101.9,0.673,0.714,35.5,0.3,13.3,34.6,24.2,5.70%,1.00%,4.30%,13.10%
"9 Gasol, Pau SA",64,39,25.4,21.4,116.3,102,0.578,0.548,21.5,17.2,7.6,26.8,17.4,14.70%,0.70%,3.50%,10.60%
"9 Leonard, Kawhi SA",74,74,33.4,31.1,120.6,102,0.61,0.541,35.7,29.5,3.7,15.7,9.8,18.90%,2.70%,1.80%,9.10%
