PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Marquese Chriss,PHX,19,82,1743,2.7,3.7,1.1,0.1,10.7,4.9,15.5
Marreese Speights,LAC,29,82,1286,3.5,1.9,0.8,1.3,13.8,3.4,17.2
Ersan Ilyasova,ATL,30,82,2142,2.9,3.5,1,0.8,7.1,3.9,11
Marcin Gortat,WAS,33,82,2556,9.5,1.6,0.8,0.3,14.6,2.4,17
Corey Brewer,LAL,31,82,1281,0.1,5,1.4,0.1,6.4,5.1,11.5
Gorgui Dieng,MIN,27,82,2653,4.9,3.9,1.4,0.4,15.5,4.2,19.7
Andrew Wiggins,MIN,22,82,3048,0.5,2.2,1.3,0,5.7,6.2,12
Joe Ingles,UTA,29,82,1972,0.5,4.5,1.7,0,4,4.5,8.5
Elfrid Payton,ORL,23,82,2412,0.5,4.3,2,0,6.2,4.8,11
Justin Holiday,NYK,28,82,1639,0.4,3.6,1.8,0.1,7.1,5.3,12.4
Karl-Anthony Towns,MIN,21,82,3030,3.8,1.5,1.3,0,13.2,4.2,17.3
Jeff Teague,IND,29,82,2657,0.8,3.9,1.6,0.2,4.4,4.3,8.8
Tobias Harris,DET,24,82,2566,1.7,2.4,1,0,8.9,5.4,14.4
Buddy Hield,SAC,23,82,1888,0.3,2.3,1.6,0,6.5,4.9,11.4
Jordan Clarkson,LAL,25,82,2397,0.3,3.2,1.8,0,4.6,4.7,9.4
Jamal Murray,DEN,20,82,1765,0.2,2.6,1.7,0.1,7.5,5,12.5
Jamal Crawford,LAC,37,82,2157,0.2,2.7,1,0,2.6,2.1,4.7
Rudy Gobert,UTA,25,81,2744,8.7,2.3,0.9,0,18,2.1,20.1
Lou Williams,HOU,30,81,1993,0.2,3.4,1.7,0.1,4.4,3.8,8.2
Greg Monroe,MIL,27,81,1823,3.3,4.6,1.8,0.5,11.7,2.7,14.4
Andre Drummond,DET,23,81,2409,7,4.6,1.4,0,12.4,2.4,14.8
Dario Saric,PHI,23,81,2129,1.9,2.1,1.6,0,11,4.2,15.2
DeAndre Jordan,LAC,28,81,2570,8.4,1.8,0.9,0,12.9,3,15.9
Dorian Finney-Smith,DAL,24,81,1642,0.4,2.6,1,0,8.5,5.5,14
Domantas Sabonis,OKC,21,81,1631,2.6,2.2,1.5,0,12.6,4.5,17.1
Myles Turner,IND,21,81,2541,5.5,2.8,0.9,0,15.1,3.2,18.2
Mason Plumlee,DEN,27,81,2148,7.7,3.5,1.2,0.2,14.9,3,17.9
Bismack Biyombo,ORL,24,81,1793,6.5,1.4,1.6,0,16.1,2.9,19.1
Russell Westbrook,OKC,28,81,2802,0,4,1.9,0.1,2.9,2.2,5.1
Bojan Bogdanovic,WAS,28,81,2083,0.1,1.6,1.4,0,6.5,5.4,12
PJ Tucker,TOR,32,81,2236,1.4,4.7,1.9,0.2,5.7,4.4,10.1
Ish Smith,DET,28,81,1955,0.6,3,1.7,0.2,6.5,3.9,10.4
James Harden,HOU,27,81,2947,0.7,3.9,1.5,0.1,6,4.9,10.8
Brandon Jennings,WAS,27,81,1801,0.1,4.1,1.5,0,2.5,3.3,5.8
Michael Kidd-Gilchrist,CHA,23,81,2349,0.4,2.8,1.6,0.2,9.8,7.5,17.3
Robin Lopez,CHI,29,81,2271,4.7,0.9,1,0,24.3,3.3,27.6
T.J. McConnell,PHI,25,81,2133,0.4,6.3,2.3,0.1,4.4,3.3,7.7
Giannis Antetokounmpo,MIL,22,80,2845,1.5,3.7,1.9,0,8.9,4.6,13.5
Jonas Valanciunas,TOR,25,80,2066,6.8,1.6,1.3,0,16.6,2,18.6
Nik Stauskas,PHI,23,80,2188,0.3,1.9,1.3,0,6,4.3,10.3
Otto Porter Jr.,WAS,24,80,2605,0.9,4.3,1.8,0.1,6.4,4.8,11.3
Aaron Gordon,ORL,21,80,2298,0.8,2.4,1.3,0.1,6.6,3.7,10.3
Solomon Hill,NOP,26,80,2374,0.8,3.7,1.3,0,6.8,5,11.8
Patty Mills,SAS,28,80,1754,0.3,3.2,1.7,0.2,3.3,3.1,6.3
Jerami Grant,OKC,23,80,1531,1,2.4,0.8,0.2,10.1,4.4,14.5
CJ McCollum,POR,25,80,2796,0.4,2.1,1.5,0.1,7.2,4.7,11.9
Steven Adams,OKC,23,80,2389,5.5,3.1,1.6,0,15.9,4.3,20.2
Cory Joseph,TOR,25,80,2003,0.7,2.8,1.4,0.1,6.1,6.1,12.2
Amir Johnson,BOS,30,80,1608,5.7,3.1,1.5,0.1,15.7,2.3,18
Luc Mbah a Moute,LAC,30,80,1787,1.2,4.2,1.5,0.1,9.9,4.4,14.3
Tony Snell,MIL,25,80,2336,0.3,2.9,1.1,0,5,5.1,10.1
Raymond Felton,LAC,33,80,1700,0.2,4.1,1.8,0,6.4,5.3,11.7
Trevor Ariza,HOU,32,80,2773,0.5,4.3,1.4,0.1,4.6,3.8,8.3
Stephen Curry,GSW,29,79,2639,2,4.7,2.2,0.1,4,4.1,8.1
