PLAYER,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT_NO_SHOES,HEIGHT_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
Aerick Sanders,PF,6.70%,-,-,6' 6.5'',6' 7.5'',8' 10'',205,6' 11.5''
Al Jefferson,PF-SF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263,7' 2.5''
Aleksandar Capin,PG,9.30%,-,-,6' 0'',6' 1.25'',7' 10'',176,6' 1.5''
Ales Chan,C,14.80%,-,-,7' 0'',7' 2'',9' 5'',255,7' 3''
Andre Barrett,PG,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171,6' 1''
Andre Brown,PF-C,6.00%,-,-,6' 8'',6' 9.5'',8' 11'',236,6' 11''
Andre Emmett,SG-SF,6.70%,-,-,6' 3.5'',6' 4.5'',8' 4'',216,6' 9''
Andre Iguodala,SG-SF,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',217,6' 11''
Andris Biedrins,C,9.30%,-,-,,,,-,
Antonio Burks,PG,9.90%,-,-,6' 0'',6' 0.75'',8' 0.5'',191,6' 6.5''
Arthur Johnson,PF-C,16.30%,-,-,6' 7'',6' 8.5'',9' 1'',262,7' 3''
Ben Gordon,PG-SG,5.30%,-,-,6' 1'',6' 2.25'',8' 3'',192,6' 8.5''
Beno Udrih,PG,9.30%,-,-,6' 2.5'',6' 3.75'',8' 2'',199,6' 4.5''
Bernard Robinson,SG-SF,6.00%,-,-,6' 5.25'',6' 6.5'',8' 6'',208,6' 10''
Blagota Sekulic,SF-PF,9.30%,-,-,6' 9.25'',6' 10.5'',8' 11'',234,6' 11''
Blake Stepp,PG,8.00%,-,-,,,,-,
Brandon Bass,PF,9.30%,-,-,6' 6.25'',6' 7.25'',8' 10.5'',246,7' 2.5''
Brian Boddicker,SF-PF,11.20%,-,-,6' 7.5'',6' 8.75'',8' 9.5'',230,6' 10''
Bryant Matthews,SF-SG,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',206,7' 0.5''
Chris Duhon,PG,6.70%,-,-,6' 0'',6' 1.25'',8' 2'',193,6' 6.5''
Chris Garnett,C-PF,14.80%,-,-,6' 8.25'',6' 9.75'',9' 0'',260,7' 1''
Damien Wilkins,SG-SF,7.30%,-,-,6' 4.5'',6' 6'',8' 10'',222,7' 0''
Delonte West,PG-SG,6.70%,-,-,6' 1.5'',6' 2.75'',8' 3.5'',183,6' 6''
Desmon Farmer,SG,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7'',214,6' 8.5''
Devin Harris,PG,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170,6' 7.5''
Drago Pasalic,PF,12.90%,-,-,6' 9.25'',6' 10.75'',9' 0'',231,6' 11.5''
Dwight Howard,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240,7' 4.5''
Dylan Page,SF,12.30%,-,-,6' 7.5'',6' 8.75'',8' 9'',239,6' 7''
Emeka Okafor,C-PF,5.30%,-,-,6' 8.75'',6' 10'',9' 2.5'',257,7' 4''
