PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Adam Morrison,SF,6.80%,-,-,6' 6.5'',6' 7.75'',8' 9'',198,6' 10''
Allan Ray,SG,9.80%,-,-,6' 1'',6' 2.25'',8' 3.5'',204,6' 8.5''
Antywane Robinson,SF-PF,6.90%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',217,7' 2.5''
Blake Schilb,PG-SG,11.30%,-,-,6' 5.25'',6' 6.25'',8' 6'',209,6' 8.75''
Bobby Jones,SF-SG,8.00%,-,-,6' 5.75'',6' 6.75'',8' 5.5'',211,6' 9.5''
Brad Buckman,PF,10.50%,-,-,6' 7.25'',6' 8.75'',8' 11.5'',238,7' 0''
Brandon Bowman,SF,8.40%,-,-,6' 6.75'',6' 8.25'',8' 7'',209,6' 11.5''
Brandon Roy,SG-SF,7.60%,-,-,6' 5.25'',6' 6.25'',8' 5'',207,6' 8''
CJ Watson,PG,5.20%,-,-,6' 0.5'',6' 1.75'',8' 0'',171,6' 6''
Carl Krauser,PG,8.00%,-,-,5' 11.75'',6' 0.75'',8' 1'',190,6' 6.25''
Cedric Simmons,PF-C,5.60%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',223,7' 4.25''
Chris McCray,SG,9.60%,-,-,6' 3'',6' 4'',8' 0.5'',187,6' 5.75''
Chris Quinn,PG-SG,5.90%,-,-,6' 0.5'',6' 1.5'',7' 10'',175,6' 5''
Craig Smith,PF,12.20%,-,-,6' 5.5'',6' 6.5'',8' 7.5'',259,6' 9.5''
Curtis Stinson,SG,6.00%,-,-,6' 1.75'',6' 2.75'',8' 1.5'',208,6' 5''
Curtis Withers,PF-SF,5.00%,-,-,6' 6'',6' 6.5'',8' 5'',227,6' 10''
Dan Grunfeld,SF-SG,10.40%,-,-,6' 4.75'',6' 6'',8' 3'',216,6' 6.25''
Daniel Horton,PG-SG,8.00%,-,-,6' 0.5'',6' 2.25'',8' 0.5'',198,6' 7''
Danilo Pinnock,PG-SG,4.60%,-,-,6' 2.75'',6' 4'',8' 4.5'',204,6' 7.5''
Darius Washington,PG,9.70%,-,-,5' 11.5'',6' 1'',8' 0'',195,6' 4''
David Noel,SF-SG,6.10%,-,-,6' 4.5'',6' 6'',8' 4'',223,6' 9.5''
Denham Brown,SG-SF,9.00%,-,-,6' 4'',6' 5'',8' 6.5'',218,6' 9.5''
Dwayne Mitchell,SG-SF,4.50%,-,-,6' 2'',6' 3.25'',8' 2.5'',208,6' 6.5''
Eric Hicks,PF,7.10%,-,-,6' 4.75'',6' 5.5'',8' 9.5'',238,7' 1.5''
Eric Williams,C-PF,13.00%,-,-,6' 7.25'',6' 8.75'',8' 10.5'',285,7' 4.25''
Frans Steyn,C,12.80%,-,-,7' 1.25'',7' 2.5'',9' 1'',280,7' 2.25''
Gerry McNamara,PG-SG,12.80%,-,-,5' 11.75'',6' 0.5'',7' 8.5'',177,6' 0.75''
Hilton Armstrong,C-PF,6.30%,-,-,6' 9.5'',6' 10.25'',9' 1'',240,7' 4''
Ian Vouyoukas,C-PF,14.80%,-,-,6' 8.5'',6' 9.5'',9' 0.5'',267,7' 0.75''
J.P. Batista,PF,12.00%,-,-,6' 7.5'',6' 8.5'',8' 7.5'',265,6' 10''
JJ Redick,SG,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25''
James Augustine,PF,5.50%,-,-,6' 8.25'',6' 9.75'',8' 8'',227,7' 0.25''
Joah Tucker,SF-SG,7.00%,-,-,6' 3.75'',6' 5.25'',8' 3.5'',224,6' 6.5''
Jordan Farmar,PG,4.40%,-,-,6' 0.75'',6' 2'',7' 10.5'',171,6' 3''
Justin Williams,C-PF,6.50%,-,-,6' 7.25'',6' 8.75'',9' 1'',211,7' 1.5''
Kenny Adeleke,PF-C,10.50%,-,-,6' 6.5'',6' 7.75'',8' 8'',250,6' 10.25''
Keydren Clark,PG,11.60%,-,-,5' 9'',5' 10.25'',7' 8.5'',184,6' 2.5''
LaMarcus Aldridge,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75''
Lou Amundson,PF,6.80%,-,-,6' 7.2'',6' 8'',8' 7.5'',221,6' 11.5''
Marco Killingsworth,PF,19.00%,-,-,6' 5.5'',6' 6.75'',8' 8'',266,7' 3''
Marcus Slaughter,PF-SF,8.50%,-,-,6' 7'',6' 8'',8' 8.5'',220,6' 11.5''
Marcus Williams,PG,12.40%,-,-,6' 2'',6' 3.25'',8' 1.5'',215,6' 7''
Mardy Collins,PG-SG,10.00%,-,-,6' 4.25'',6' 5.5'',8' 7'',224,6' 10''
Matt Haryasz,PF-C,9.80%,-,-,6' 9.75'',6' 11'',8' 11.5'',219,7' 0.25''
Maurice Ager,SG-PG,8.00%,-,-,6' 3.25'',6' 4.5'',8' 5.5'',203,6' 7.75''
Michael Southhall,C,7.90%,-,-,6' 9.5'',6' 10.25'',8' 11.5'',241,7' 4.25''
Morris Almond,SG-SF,6.90%,-,-,6' 4.75'',6' 6'',8' 6.5'',214,6' 10''
Mouhamed Sene,C,6.60%,-,-,6' 11'',7' 0'',9' 5'',237,7' 8.5''
Nick George,SF-SG,6.00%,-,-,6' 4'',6' 5.75'',8' 7'',201,6' 10''
Nik Caner-Medley,SF,9.60%,-,-,6' 6.5'',6' 8'',8' 7'',234,6' 9''
Patrick O'Bryant,C,10.00%,-,-,6' 11'',7' 0'',9' 5'',249,7' 5.75''
Paul Miller,PF-C,13.80%,-,-,6' 8.5'',6' 9.25'',8' 5.5'',251,7' 0''
Paul Millsap,PF,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5''
Pops Mensah-Bonsu,PF-C,5.80%,-,-,6' 7.5'',6' 9'',8' 9.5'',232,7' 0''
Randy Foye,SG-PG,10.00%,-,-,6' 2.25'',6' 3.25'',8' 1'',212,6' 6.25''
