PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Al-Farouq Aminu,SF,11.29,-,3.3,27,33.5,13
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2
Cole Aldrich,C,11.48,-,3.35,23,28,10
Craig Brackins,PF-SF,11.65,-,3.39,26,35,6
Damion James,SF,10.89,-,3.2,29,33,13
Daniel Orton,C,12.32,-,3.39,24,30.5,13
Darington Hobson,SG-SF,11.68,-,3.25,29,34,-
DeMarcus Cousins,C,11.4,-,3.55,23.5,27.5,-
Derrick Caracter,PF,12.78,-,3.61,25,30.5,22
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14
Devin Ebanks,SF,11.69,-,3.44,23.5,32,6
Dexter Pittman,PF-C,-,-,-,-,-,-
Dominique Jones,SG,10.88,-,3.31,26,32.5,19
Ed Davis,PF,11.7,-,3.21,31,36,-
Ekpe Udoh,PF,11.15,-,3.29,31,33.5,10
Eric Bledsoe,PG,-,-,-,-,-,9
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9
Gani Lawal,PF,11.61,-,3.24,27,31.5,20
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10
Greg Monroe,PF-C,12.1,-,3.35,25,29,15
Greivis Vasquez,PG-SG,-,-,-,-,-,-
Hassan Whiteside,C-PF,11.83,-,3.54,27,31.5,12
James Anderson,SF,11.86,-,3.19,30,35.5,14
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3
Jerome Jordan,C,-,-,-,-,-,-
John Wall,PG,10.84,-,3.14,30,39,-
Jon Scheyer,PG-SG,-,-,-,-,-,-
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7
Keith Gallon,PF-C,13.44,-,3.7,23.5,28.5,14
Lance Stephenson,SG,11.39,-,3.38,27,33,10
Larry Sanders,PF-C,12.49,-,3.27,25.5,28,7
Lazar Hayward,SG-SF,10.87,-,3.31,31,36,15
Luke Babbitt,SF-PF,10.98,-,3.4,29.5,37.5,15
Luke Harangody,PF,11.83,-,3.41,24,28.5,23
Manny Harris,SG,-,-,-,-,-,11
Mikhail Torrance,PG,11.43,-,3.17,23,32,8
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17
Paul George,SF,-,-,-,-,-,4
Ryan Richards,PF,11.33,-,3.37,25,28.5,4
Sherron Collins,PG,12.31,-,3.24,27.5,33,-
Solomon Alabi,C,13.2,-,3.68,22.5,26,10
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6
Sylven Landesberg,SG,11.59,-,3.36,28,32,8
Terrico White,SG-PG,11.38,-,3.15,31,40,10
Trevor Booker,PF,11.15,-,3.1,31,36,22
Wesley Johnson,SF,11.43,-,3.14,32,37,16
Willie Warren,SG-PG,11.21,-,3.5,23,31.5,10
Xavier Henry,SG,11.1,-,3.18,28.5,36.5,8
