PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Rawle Alkins,SG,11.5,3.09,3.15,32.5,40.5,10
Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35,0
Udoka Azubuike,C,12.97,3.65,3.12,31,31.5,11
Mohamed Bamba,C,-,-,-,-,-,-
Jaylen Barford,PG-SG,11.39,3.21,3.31,27,33,7
Keita Bates-Diop,SG-SF,11.2,3.28,3.17,30.5,35,11
Tyus Battle,SG,11.04,2.87,3.07,32,37.5,9
Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34,0
Miles Bridges,SF,-,-,-,-,-,-
Bruce Brown,SG-PG,11.11,3.44,3.2,32.5,38,17
Troy Brown,SF,11.51,3.29,3.33,26,33,5
Jalen Brunson,PG,10.59,3.11,3.15,29,37,7
Tony Carr,PG,11.89,3.4,3.17,25,31.5,0
Wendell Carter,C-PF,-,-,-,-,-,-
Jevon Carter,PG,11.04,3.05,3.18,29,36.5,14
Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42,12
Hamidou Diallo,SG,10.53,3.14,3.1,32.5,40.5,1
Trevon Duval,PG,10.93,3.09,3.18,34,41.5,6
Carsen Edwards,PG,11.59,3.15,3.2,28.5,34.5,12
Jacob Evans,SG-SF,11.11,3.14,3.2,28,35.5,8
Keenan Evans,PG,-,-,-,-,-,-
Bruno Fernando,C,12.19,3.03,3.23,29,35,11
Melvin Frazier,SF-SG,11.24,3.08,3.08,31,40.5,0
Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
Devonte Graham,PG,11.28,3.15,3.21,31,37,14
Isaac Haas,C,-,-,-,-,-,-
Devon Hall,SG,10.95,3.16,3.27,25,31,6
Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
Kevin Hervey,PF,11.28,3.15,3.36,27.5,32,4
Aaron Holiday,PG,10.96,3.22,3.27,25.5,33,-
Kevin Huerter,SG,10.89,2.97,3.09,31,38,9
Jaren Jackson,PF-C,-,-,-,-,-,-
Justin Jackson,PF,-,-,-,-,-,-
Alize Johnson,PF,11.83,3.28,3.38,25,31,8
George King,SF-SG,10.75,3.08,3.29,31,39,15
Kevin Knox,SF,-,-,-,-,-,-
Sagaba Konate,C,12.28,3.36,3.28,31.5,35,12
Caleb Martin,SF-SG,10.43,2.75,3.26,29,36.5,6
Cody Martin,SG-SF,10.64,3.05,3.09,29,36.5,4
Yante Maten,PF-C,11.35,3.13,3.17,27,31.5,18
Brandon McCoy,C,11.77,3.31,3.23,27.5,32,9
DeAnthony Melton,SG-PG,11.48,3.33,3.23,31,36.5,1
Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36,5
Shake Milton,SG-PG,11.07,3.19,3.25,30,33,2
Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37,4
Malik Newman,SG,10.9,3.18,3.13,27.5,33.5,-
Josh Okogie,SG,11.08,3.03,3.04,33,42,12
Theo Pinson,SG-SF,11.53,3.11,3.22,27,34,7
Jontay Porter,C-PF,11.9,3.07,3.4,25.5,31,9
Michael Porter,SF-PF,-,-,-,-,-,-
Billy Preston,PF,11.26,3.35,3.2,25,33,0
Jerome Robinson,SG,-,-,-,-,-,-
Collin Sexton,PG,-,-,-,-,-,-
Landry Shamet,PG,11.26,3.21,3.11,31,39.5,8
Anfernee Simons,SG-PG,11.27,3.16,3.1,32,41.5,1
Zhaire Smith,SF-SG,11.02,3.15,3.05,33,41.5,10
Ray Spalding,PF,11.48,3.2,3.34,26,32,12
Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
Khyri Thomas,SG,10.96,3.18,3.18,30,35,14
Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
Allonzo Trier,SG,11.02,2.97,3.14,32,40,11
Moritz Wagner,C-PF,11.48,3.07,3.18,27,34,8
Lonnie Walker,SG,10.87,2.91,3.06,31.5,40,12
PJ Washington,PF,11.39,3.43,3.2,27,34,3
Austin Wiley,C,12.79,3.27,3.3,28,33.5,14
Kris Wilkes,SF,11.29,3.16,3.24,28,35.5,1
Kenrich Williams,SF,10.86,3.28,3.19,28,33,14
Trae Young,PG,-,-,-,-,-,-
