Show 102550251 entries,,,,,,,
Search:,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
1,"Vashil Fernandez, Valparaiso (Horizon)",Sr.,6-10,C,36,119,3.31
7,"Chris Boucher, Oregon (Pac-12)",Jr.,6-10,F,38,110,2.89
13,"Cameron Oliver, Nevada (Mountain West)",Fr.,6-8,F,38,99,2.61
3,"Jameel Warney, Stony Brook (America East)",Sr.,6-8,F,33,99,3
2,"Tai Odiase, Ill.-Chicago (Horizon)",So.,6-9,C,30,97,3.23
3,"Laron Smith, Bethune-Cookman (Mid-Eastern)",Jr.,6-8,F,32,96,3
8,"William Lee, UAB (Conference USA)",So.,6-9,F,33,95,2.88
9,"Egidijus Mockevicius, Evansville (Missouri Valley)",Sr.,6-10,C,34,94,2.76
6,"Adrian Diaz, FIU (Conference USA)",Sr.,6-10,F,32,93,2.91
14,"Malik Dime, Washington (Pac-12)",Jr.,6-9,F,34,88,2.59
25,"Mamadou Ndiaye, UC Irvine (Big West)",Jr.,7-6,C,37,87,2.35
11,"Will Kelly, Navy (Patriot)",Sr.,6-9,F,33,87,2.64
12,"Jarrod Uthoff, Iowa (Big Ten)",Sr.,6-9,F,33,86,2.61
18,"Liam Thomas, Nicholls St. (Southland)",Jr.,6-10,F,34,85,2.5
15,"A.J. Hammons, Purdue (Big Ten)",Sr.,7-0,C,33,84,2.55
3,"Luke Kornet, Vanderbilt (Southeastern)",Jr.,6-10,F,28,84,3
39,"Khadeem Lattin, Oklahoma (Big 12)",So.,6-9,F,37,77,2.08
27,"Justin Tuoyo, Chattanooga (Southern)",Jr.,6-10,F,33,77,2.33
32,"Pascal Siakam, New Mexico St. (Western Athletic)",So.,6-9,F,34,76,2.24
23,"Mario Moody, Bethune-Cookman (Mid-Eastern)",Sr.,6-7,C,32,76,2.38
23,"Moses Kingsley, Arkansas (Southeastern)",So.,6-10,F,32,76,2.38
17,"Jito Kok, San Diego (West Coast)",Sr.,6-9,C,30,76,2.53
10,"Cedric Kuakumensah, Brown (Ivy League)",Sr.,6-8,F,28,76,2.71
30,"Rashawn Thomas, A&M-Corpus Chris (Southland)",Jr.,6-7,F,33,75,2.27
26,"Amdy Fall, St. Francis Brooklyn (Northeast)",Sr.,6-6,F,32,75,2.34
34,"Jordan Butler, Norfolk St. (Mid-Eastern)",So.,6-6,F,34,74,2.18
36,"Demarcus Daniels, North Florida (ASUN)",Sr.,6-8,F,34,73,2.15
33,"Beejay Anya, NC State (Atlantic Coast)",Jr.,6-9,F,33,73,2.21
49,"Skylar Spencer, San Diego St. (Mountain West)",Sr.,6-10,F,38,72,1.89
20,"Duby Okeke, Winthrop (Big South)",So.,6-8,C,29,72,2.48
38,"Javion Ogunyemi, Siena (Metro Atlantic)",Jr.,6-8,F,34,71,2.09
29,"Landry Nnoko, Clemson (Atlantic Coast)",Sr.,6-10,C,31,71,2.29
40,"Ethan O'Day, Vermont (America East)",Sr.,6-9,F,35,70,2
27,"Tacko Fall, UCF (AAC)",Fr.,7-6,C,30,70,2.33
50,"Mo Alie-Cox, VCU (Atlantic 10)",Jr.,6-6,F,36,68,1.89
40,"Wesley Gordon, Colorado (Pac-12)",Jr.,6-9,F,34,68,2
58,"Tyler Lydon, Syracuse (Atlantic Coast)",Fr.,6-8,F,37,67,1.81
46,"Ben Lawson, Western Ky. (Conference USA)",Jr.,7-1,F,34,66,1.94
16,"Kassoum Yakwe, St. John's (NY) (Big East)",Fr.,6-7,F,26,66,2.54
47,"Chris Davenport, North Florida (ASUN)",Jr.,6-8,F,34,65,1.91
37,"Horace Spencer, Auburn (Southeastern)",Fr.,6-9,F,31,65,2.1
18,"Hassan Martin, Rhode Island (Atlantic 10)",Jr.,6-7,F,26,65,2.5
57,"Deyonta Davis, Michigan St. (Big Ten)",Fr.,6-10,F,35,64,1.83
40,"Brandan Stith, Old Dominion (Conference USA)",Jr.,6-7,F,32,64,2
40,"Prince Ibeh, Texas (Big 12)",Sr.,6-11,C,32,64,2
68,"Chris Horton, Austin Peay (OVC)",Sr.,6-8,C,36,63,1.75
59,"Antonio Campbell, Ohio (Mid-American)",Jr.,6-8,F,35,63,1.8
40,"Chinanu Onuaku, Louisville (Atlantic Coast)",So.,6-10,C,31,62,2
61,"Yante Maten, Georgia (Southeastern)",So.,6-8,F,34,61,1.79
61,"Shawn Long, Louisiana (Sun Belt)",Sr.,6-9,F,34,61,1.79
55,"Shaq Goodwin, Memphis (AAC)",Sr.,6-9,F,33,61,1.85
31,"Derrick Griffin, Texas Southern (Southwestern)",---,0-0,F,27,61,2.26
21,"Ronald Delph, Fla. Atlantic (Conference USA)",Fr.,7-0,C,25,61,2.44
51,"Zane Najdawi, The Citadel (Southern)",Fr.,6-7,F,32,60,1.88
51,"Justin Hollins, CSU Bakersfield (Western Athletic)",Jr.,6-8,F,32,60,1.88
22,"Yankuba Sima, St. John's (NY) (Big East)",Fr.,6-11,C,25,60,2.4
117,"Brice Johnson, North Carolina (Atlantic Coast)",Sr.,6-9,F,40,59,1.48
87,"Marshall Plumlee, Duke (Atlantic Coast)",Sr.,7-0,F,36,59,1.64
87,"Marcus Lee, Kentucky (Southeastern)",Jr.,6-9,F,36,59,1.64
87,"Skal Labissiere, Kentucky (Southeastern)",Fr.,6-11,F,36,59,1.64
73,"Boris Bojanovsky, Florida St. (Atlantic Coast)",Sr.,7-3,C,34,59,1.74
63,"Jimmie Taylor, Alabama (Southeastern)",Jr.,6-10,F,33,59,1.79
48,"Anthony Morse, Tennessee Tech (OVC)",Sr.,6-9,F,31,59,1.9
85,"Zach LeDay, Virginia Tech (Atlantic Coast)",Jr.,6-7,F,35,58,1.66
67,"Aaron Rountree, Iona (Metro Atlantic)",Sr.,6-8,F,33,58,1.76
53,"Eric Stuteville, Sacramento St. (Big Sky)",Jr.,6-11,C,31,58,1.87
35,"Isaiah Robinson, Houston Baptist (Southland)",Fr.,6-10,C,27,58,2.15
106,"Daniel Ochefu, Villanova (Big East)",Sr.,6-11,F,37,57,1.54
56,"Ryan Rhoomes, Fordham (Atlantic 10)",Sr.,6-8,F,31,57,1.84
105,"Jakob Poeltl, Utah (Pac-12)",So.,7-0,F,36,56,1.56
99,"Diamond Stone, Maryland (Big Ten)",Fr.,6-11,C,35,56,1.6
78,"Donta Hall, Alabama (Southeastern)",Fr.,6-9,F,33,56,1.7
68,"Khaliq Spicer, Kent St. (Mid-American)",Sr.,6-9,C,32,56,1.75
68,"Venky Jois, Eastern Wash. (Big Sky)",Sr.,6-8,F,32,56,1.75
54,"Josh Nebo, Saint Francis (PA) (Northeast)",Fr.,6-8,C,30,56,1.87
97,"Marquese Chriss, Washington (Pac-12)",Fr.,6-9,F,34,55,1.62
82,"Dedric Lawson, Memphis (AAC)",Fr.,6-9,F,33,55,1.67
75,"Jameel McKay, Iowa St. (Big 12)",Sr.,6-9,F,32,55,1.72
75,"Steve McElvene, Dayton (Atlantic 10)",Fr.,6-11,C,32,55,1.72
64,"Ed Polite, Jr., Radford (Big South)",Fr.,6-5,F,31,55,1.77
102,"Chimezie Metu, Southern California (Pac-12)",Fr.,6-11,F,34,54,1.59
90,"J.J. Panoske, Milwaukee (Horizon)",Sr.,6-10,F,33,54,1.64
90,"Armani Moore, Tennessee (Southeastern)",Sr.,6-4,F,33,54,1.64
90,"Damian Jones, Vanderbilt (Southeastern)",Jr.,6-10,C,33,54,1.64
90,"Jaleel Cousins, South Fla. (AAC)",Sr.,6-11,C,33,54,1.64
80,"Xavier Cooks, Winthrop (Big South)",So.,6-8,F,32,54,1.69
72,"Jacob Lawson, Appalachian St. (Sun Belt)",Sr.,6-8,F,31,54,1.74
65,"Donovan Smith, Quinnipiac (Metro Atlantic)",Jr.,6-9,F,30,53,1.77
65,"Jordan Bell, Oregon (Pac-12)",So.,6-9,F,30,53,1.77
94,"Josh Scott, Colorado (Pac-12)",Sr.,6-10,F,32,52,1.63
94,"Karachi Edo, Fresno St. (Mountain West)",Jr.,6-6,F,32,52,1.63
74,"Tre Hale-Edmerson, CSUN (Big West)",Sr.,6-9,F,30,52,1.73
120,"Dane Pineau, Saint Mary's (CA) (West Coast)",Jr.,6-9,F,35,51,1.46
101,"Jordan Dickerson, Penn St. (Big Ten)",Sr.,7-1,C,32,51,1.59
86,"Majok Deng, La.-Monroe (Sun Belt)",Sr.,6-10,F,31,51,1.65
45,"Stephen Zimmerman Jr., UNLV (Mountain West)",Fr.,7-0,F,26,51,1.96
137,"Kyle Davis, BYU (West Coast)",Jr.,6-8,F,37,50,1.35
118,"T.J. Holyfield, SFA (Southland)",Fr.,6-7,F,34,50,1.47
110,"Daniel Giddens, Ohio St. (Big Ten)",Fr.,6-10,C,33,50,1.52
110,"Octavius Ellis, Cincinnati (AAC)",Sr.,6-10,F,33,50,1.52
104,"Obediah Church, Missouri St. (Missouri Valley)",Fr.,6-7,F,32,50,1.56
82,"Devine Eke, Maine (America East)",Fr.,6-7,F,30,50,1.67
134,"Brandon Ingram, Duke (Atlantic Coast)",Fr.,6-9,F,36,49,1.36
134,"Jordan Fouse, Green Bay (Horizon)",Sr.,6-7,G,36,49,1.36
122,"Isaiah Whitehead, Seton Hall (Big East)",So.,6-4,G,34,49,1.44
122,"Darryl Palmer, South Carolina St. (Mid-Eastern)",Sr.,6-7,F,34,49,1.44
114,"Tyler Wideman, Butler (Big East)",So.,6-8,F,33,49,1.48
114,"Henry Ellenson, Marquette (Big East)",Fr.,6-10,F,33,49,1.48
114,"Gary Clark, Cincinnati (AAC)",So.,6-8,F,33,49,1.48
68,"John Brown, High Point (Big South)",Sr.,6-8,F,28,49,1.75
129,"John Egbunu, Florida (Southeastern)",So.,6-11,C,34,48,1.41
99,"Phillip Anglade, VMI (Southern)",Sr.,6-5,F,30,48,1.6
77,"Justin Sears, Yale (Ivy League)",Sr.,6-8,F,28,48,1.71
144,"Ben Lammers, Georgia Tech (Atlantic Coast)",So.,6-10,C,36,47,1.31
140,"Rodney Bullock, Providence (Big East)",So.,6-8,F,35,47,1.34
126,"James Thompson IV, Eastern Mich. (Mid-American)",Fr.,6-10,C,33,47,1.42
126,"Luke Fischer, Marquette (Big East)",Jr.,6-11,C,33,47,1.42
119,"Zach Smith, Texas Tech (Big 12)",So.,6-8,F,32,47,1.47
109,"Albert Owens, Oral Roberts (Summit League)",So.,6-9,C,31,47,1.52
96,"Kevin Ferguson, Army West Point (Patriot)",Sr.,6-10,C,29,47,1.62
81,"Jervon Pressley, Hampton (Mid-Eastern)",Sr.,6-8,F,28,47,1.68
103,"Devin Thomas, Wake Forest (Atlantic Coast)",Sr.,6-9,F,29,46,1.59
162,"Robert Carter, Maryland (Big Ten)",Jr.,6-9,F,36,45,1.25
162,"Chris Brady, Monmouth (Metro Atlantic)",Jr.,6-10,C,36,45,1.25
151,"Isaiah Johnson, Akron (Mid-American)",Jr.,6-10,C,35,45,1.29
112,"Evan Cummins, Harvard (Ivy League)",Sr.,6-9,F,30,45,1.5
98,"David Onuorah, Cornell (Ivy League)",Jr.,6-9,F,28,45,1.61
82,"Collin Spickerman, Portland St. (Big Sky)",Sr.,6-8,F,27,45,1.67
59,"Christian Cunningham, Jacksonville St. (OVC)",Fr.,6-6,F,25,45,1.8
161,"Geoffrey Groselle, Creighton (Big East)",Sr.,7-0,C,35,44,1.26
149,"Darius Lewis, Duquesne (Atlantic 10)",Jr.,6-11,C,34,44,1.29
149,"Sam Hughes, UNC Asheville (Big South)",Sr.,6-4,F,34,44,1.29
107,"Tony Washington, La Salle (Atlantic 10)",So.,6-10,C,29,44,1.52
107,"Walter Foster, Towson (Colonial)",Jr.,6-8,F,29,44,1.52
145,"Lotanna Nwogbo, Longwood (Big South)",Sr.,6-8,F,33,43,1.3
130,"Denzel Gregg, St. Bonaventure (Atlantic 10)",Jr.,6-7,F,31,43,1.39
125,"Derrick Jones Jr., UNLV (Mountain West)",Fr.,6-7,F,30,43,1.43
190,"Kenneth Lowe, Green Bay (Horizon)",Jr.,6-7,F,36,42,1.17
190,"Corbin Kaufusi, BYU (West Coast)",So.,6-10,C,36,42,1.17
175,"Trevor Thompson, Ohio St. (Big Ten)",So.,6-11,C,35,42,1.2
175,"Matt Costello, Michigan St. (Big Ten)",Sr.,6-9,F,35,42,1.2
167,"Ivan Rabb, California (Pac-12)",Fr.,6-11,F,34,42,1.24
143,"Chris Hooper, St. Francis Brooklyn (Northeast)",Sr.,6-6,F,32,42,1.31
136,"Nana Foulland, Bucknell (Patriot)",So.,6-9,C,31,42,1.35
121,"Rashaun Stimage, DePaul (Big East)",Sr.,6-9,F,29,42,1.45
112,"Marcel Boyd, Howard (Mid-Eastern)",Jr.,6-10,C,28,42,1.5
197,"Tyler Davis, Texas A&M (Southeastern)",Fr.,6-10,C,36,41,1.14
189,"Luke Petrasek, Columbia (Ivy League)",Jr.,6-10,F,35,41,1.17
164,"Joel Bolomboy, Weber St. (Big Sky)",Sr.,6-9,F,33,41,1.24
164,"Keita Bates-Diop, Ohio St. (Big Ten)",So.,6-7,F,33,41,1.24
153,"Ruben Guerrero, South Fla. (AAC)",So.,6-11,C,32,41,1.28
153,"Jesse Chuku, Lehigh (Patriot)",Sr.,6-9,F,32,41,1.28
141,"Jaron Blossomgame, Clemson (Atlantic Coast)",Jr.,6-7,F,31,41,1.32
128,"Ben Moore, SMU (AAC)",Jr.,6-8,F,29,41,1.41
234,"Yuta Watanabe, George Washington (Atlantic 10)",So.,6-8,F,38,40,1.05
195,"Tony Nunn, Southern U. (Southwestern)",Jr.,6-9,F,35,40,1.14
195,"Perrin Buford, Middle Tenn. (Conference USA)",Sr.,6-6,G,35,40,1.14
185,"Nick Havener, Boston U. (Patriot)",So.,6-8,F,34,40,1.18
185,"Rokas Gustys, Hofstra (Colonial)",So.,6-9,F,34,40,1.18
185,"Brent Calhoun, Fort Wayne (Summit League)",Jr.,6-8,F,34,40,1.18
173,"Stefan Jankovic, Hawaii (Big West)",Jr.,6-11,F,33,40,1.21
220,"Zach Auguste, Notre Dame (Atlantic Coast)",Sr.,6-10,F,36,39,1.08
206,"Lis Shoshi, Little Rock (Sun Belt)",Jr.,6-11,F,35,39,1.11
194,"Johnathan Motley, Baylor (Big 12)",So.,6-9,F,34,39,1.15
182,"Timajh Parker-Rivera, Towson (Colonial)",Sr.,6-7,F,33,39,1.18
169,"Tim Williams, New Mexico (Mountain West)",Jr.,6-8,F,32,39,1.22
169,"Drew Eubanks, Oregon St. (Pac-12)",Fr.,6-10,F,32,39,1.22
159,"Jerome Frink, LIU Brooklyn (Northeast)",Jr.,6-7,F,31,39,1.26
159,"Brandon Clarke, San Jose St. (Mountain West)",Fr.,6-7,G,31,39,1.26
146,"Nick Victor, Yale (Ivy League)",Sr.,6-5,G,30,39,1.3
146,"Terry Tarpey, William & Mary (Colonial)",Sr.,6-5,G,30,39,1.3
146,"Yohanny Dalembert, James Madison (Colonial)",Jr.,6-8,F,30,39,1.3
139,"Brandon Peel, Central Conn. St. (Northeast)",Sr.,6-7,F,29,39,1.34
79,"Chaise Daniels, Quinnipiac (Metro Atlantic)",So.,6-8,F,23,39,1.7
219,"Jamar Hurdle, Green Bay (Horizon)",Jr.,6-7,G,35,38,1.09
193,"Jonathan Kasibabu, Fairfield (Metro Atlantic)",Fr.,6-8,C,33,38,1.15
178,"Marin Maric, Northern Ill. (Mid-American)",So.,6-10,C,32,38,1.19
178,"Charles Cooke, Dayton (Atlantic 10)",Jr.,6-5,G,32,38,1.19
178,"Obij Aget, New Mexico (Mountain West)",Jr.,7-1,C,32,38,1.19
178,"Dionte Adams, Hampton (Mid-Eastern)",Sr.,6-7,F,32,38,1.19
157,"Marin Mornar, Loyola Marymount (West Coast)",Sr.,6-9,F,30,38,1.27
157,"Michael Humphrey, Stanford (Pac-12)",So.,6-9,F,30,38,1.27
203,"L'Hassane Niangane, Gardner-Webb (Big South)",So.,6-10,C,33,37,1.12
203,"Taylor Danaher, Mt. St. Mary's (Northeast)",Sr.,7-0,C,33,37,1.12
203,"Martin Breunig, Montana (Big Sky)",Sr.,6-8,F,33,37,1.12
192,"Nathan Ekwu, Davidson (Atlantic 10)",So.,6-7,F,32,37,1.16
177,"Jordon Varnado, Troy (Sun Belt)",Fr.,6-6,F,31,37,1.19
155,"Coleman Johnson, Fairfield (Metro Atlantic)",Sr.,6-6,F,29,37,1.28
142,"Jake Zuilhof, Central Ark. (Southland)",Sr.,6-9,C,28,37,1.32
