Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
1,"Anthony Davis, Kentucky (SEC)",Fr.,6-10,F,40,186,4.65
4,"Jeff Withey, Kansas (Big 12)",Jr.,7-0,C,39,140,3.59
2,"William Mosley, Northwestern St. (Southland)",Sr.,6-7,C,32,130,4.06
8,"Gorgui Dieng, Louisville (AAC)",So.,6-11,C,40,128,3.2
5,"C.J. Aiken, Saint Joseph's (Atlantic 10)",So.,6-9,F,34,120,3.53
6,"Eric Buckner, Georgia St. (CAA)",Sr.,6-8,F,34,118,3.47
3,"Damian Eargle, Youngstown St. (Horizon)",Jr.,6-7,F,31,116,3.74
7,"Darrius Garrett, Richmond (Atlantic 10)",Sr.,6-9,F,32,107,3.34
12,"John Henson, North Carolina (ACC)",Jr.,6-11,F,35,101,2.89
15,"Kyle O'Quinn, Norfolk St. (MEAC)",Sr.,6-10,C,36,97,2.69
13,"Zeke Marshall, Akron (MAC)",Jr.,7-0,C,34,95,2.79
9,"Jamelle Hagins, Delaware (CAA)",Jr.,6-9,F,32,95,2.97
14,"Andre Drummond, UConn (AAC)",Fr.,6-10,C,34,92,2.71
10,"Alec Brown, Green Bay (Horizon)",So.,7-1,C,30,89,2.97
31,"Daniel Coursey, Mercer (ASUN)",So.,6-10,F,38,88,2.32
11,"Fab Melo, Syracuse (AAC)",So.,7-0,C,30,88,2.93
20,"Rhamel Brown, Manhattan (MAAC)",So.,6-6,F,34,84,2.47
25,"Dario Hunt, Nevada (WAC)",Sr.,6-8,F,35,83,2.37
18,"Danny Agbelese, Hampton (MEAC)",Sr.,6-8,F,33,83,2.52
29,"Bernard James, Florida St. (ACC)",Sr.,6-10,F,35,82,2.34
35,"LaMarcus Lowe, Detroit Mercy (Horizon)",Sr.,6-11,C,35,79,2.26
22,"Robert Nwankwo, Towson (CAA)",Sr.,6-8,F,32,77,2.41
22,"Jordan Henriquez, Kansas St. (Big 12)",Jr.,7-0,C,32,77,2.41
21,"Daniel Miller, Georgia Tech (ACC)",So.,6-11,C,31,75,2.42
26,"Cameron Moore, UAB (C-USA)",Sr.,6-10,F,31,73,2.35
26,"Eric Griffin, Campbell (Big South)",Sr.,6-8,F,31,73,2.35
26,"Kadeem Coleby, Louisiana (Sun Belt)",Jr.,6-9,C,31,73,2.35
30,"Chris Udofia, Denver (Sun Belt)",So.,6-6,F,31,72,2.32
19,"Marques Oliver, Delaware St. (MEAC)",Jr.,6-7,F,29,72,2.48
17,"Peter 'PJ' Roberson, Grambling (SWAC)",Jr.,7-0,C,28,72,2.57
16,"Javier Carter, South Ala. (Sun Belt)",Jr.,6-6,F,27,72,2.67
32,"Damontre Harris, South Carolina (SEC)",So.,6-9,F,31,71,2.29
32,"Kenny Gabriel, Auburn (SEC)",Sr.,6-8,F,31,71,2.29
56,"Quincy Acy, Baylor (Big 12)",Sr.,6-7,F,38,70,1.84
39,"Hunter Mickelson, Arkansas (SEC)",Fr.,6-10,F,32,70,2.19
39,"Adam Kemp, Marist (MAAC)",So.,6-10,F,32,70,2.19
34,"Yannick Crowder, Florida A&M (MEAC)",Sr.,6-8,F,31,70,2.26
49,"Eric Moreland, Oregon St. (Pac-12)",Fr.,6-10,F,36,69,1.92
41,"Reginald Buckner, Ole Miss (SEC)",Jr.,6-9,F,32,69,2.16
24,"Kervin Bristol, Fordham (Atlantic 10)",Sr.,6-10,F,29,69,2.38
62,"Terrence Jones, Kentucky (SEC)",So.,6-9,F,38,68,1.79
58,"Ryan Olander, Fairfield (MAAC)",Sr.,6-11,F,37,68,1.84
38,"Mitchell Watt, Buffalo (MAC)",Sr.,6-10,F,31,68,2.19
54,"Andre Roberson, Colorado (Pac-12)",So.,6-7,G,36,67,1.86
36,"Greg Mangano, Yale (Ivy League)",Sr.,6-10,F,29,65,2.24
46,"Michael Morrison, George Mason (CAA)",Sr.,6-9,F,33,64,1.94
42,"TaShawn Thomas, Houston (C-USA)",Fr.,6-8,G,30,64,2.13
61,"Osas Ebomwonyi, Lamar University (Southland)",So.,6-10,C,35,63,1.8
44,"Andrew Nicholson, St. Bonaventure (Atlantic 10)",Sr.,6-9,F,32,63,1.97
52,"Jyles Smith, Savannah St. (MEAC)",So.,6-8,F,33,62,1.88
78,"Justin Jackson, Cincinnati (AAC)",So.,6-8,F,37,61,1.65
73,"Jared Berggren, Wisconsin (Big Ten)",Jr.,6-10,C,36,60,1.67
59,"Michale Kyser, Louisiana Tech (WAC)",Fr.,6-9,F,33,60,1.82
53,"Meyers Leonard, Illinois (Big Ten)",So.,7-0,C,32,60,1.88
47,"Quinton Doggett, Southern U. (SWAC)",Sr.,6-8,F,31,60,1.94
47,"Carson Desrosiers, Wake Forest (ACC)",So.,7-0,C,31,60,1.94
71,"Mike Muscala, Bucknell (Patriot)",Jr.,6-10,F,35,59,1.69
63,"Keith Clanton, UCF (C-USA)",Jr.,6-8,F,33,59,1.79
102,"Tyler Zeller, North Carolina (ACC)",Sr.,7-0,F,38,58,1.53
69,"Halil Kanacevic, Saint Joseph's (Atlantic 10)",So.,6-8,F,34,58,1.71
60,"Vander Joaquim, Hawaii (WAC)",Jr.,6-10,C,32,58,1.81
43,"Tim Owens, Troy (Sun Belt)",Sr.,6-9,F,28,58,2.07
83,"Gregory Echenique, Creighton (MVC)",Jr.,6-9,C,35,57,1.63
67,"Jordan Reves, UT Arlington (Southland)",Jr.,6-10,F,33,57,1.73
57,"Orion Outerbridge, Rhode Island (Atlantic 10)",Sr.,6-9,F,31,57,1.84
70,"Herb Pope, Seton Hall (AAC)",Sr.,6-8,F,33,56,1.7
86,"Mason Plumlee, Duke (ACC)",Jr.,6-10,F,34,55,1.62
86,"Noah Hartsock, BYU (WCC)",Sr.,6-8,F,34,55,1.62
73,"John Shurna, Northwestern (Big Ten)",Sr.,6-9,F,33,55,1.67
73,"Jake Cohen, Davidson (SoCon)",Jr.,6-10,F,33,55,1.67
64,"Will Davis II, UC Irvine (Big West)",Fr.,6-8,C,31,55,1.77
50,"Bj Shearry, UC Riverside (Big West)",Sr.,6-7,F,29,55,1.9
121,"Rodney Williams, Minnesota (Big Ten)",Jr.,6-7,G,38,54,1.42
93,"Omar Oraby, Rice (C-USA)",So.,7-2,C,34,54,1.59
93,"C.J. Leslie, NC State (ACC)",So.,6-8,F,34,54,1.59
105,"Tarik Black, Memphis (C-USA)",So.,6-8,F,35,53,1.51
98,"Clint Chapman, Texas (Big 12)",Sr.,6-10,C,34,53,1.56
68,"Greg Somogyi, UC Santa Barbara (Big West)",Sr.,7-2,C,31,53,1.71
65,"Kodi Maduka, Tulsa (C-USA)",So.,6-10,C,30,53,1.77
45,"Omar Sanders, South Carolina St. (MEAC)",Sr.,6-8,F,27,53,1.96
96,"Jack Cooley, Notre Dame (AAC)",Jr.,6-9,F,33,52,1.58
96,"Mitchell Anderson, Ark.-Pine Bluff (SWAC)",Sr.,6-6,F,33,52,1.58
84,"Tony Wroblicky, American (Patriot)",So.,6-10,F,32,52,1.63
84,"Patrick Hazel, Boston U. (America East)",Sr.,6-6,F,32,52,1.63
72,"Naofall Folahan, Wagner (NEC)",So.,6-11,C,31,52,1.68
123,"Raphiael Putney, Massachusetts (Atlantic 10)",So.,6-9,C,36,51,1.42
100,"Tony Woods, Oregon (Pac-12)",Jr.,6-10,C,33,51,1.55
89,"Donte Williams, Georgia (SEC)",So.,6-9,F,32,51,1.59
89,"Dane Miller, Rutgers (AAC)",Jr.,6-6,G,32,51,1.59
89,"Kenny Kadji, Miami (FL) (ACC)",Jr.,6-11,C,32,51,1.59
89,"Cameron Black, Bowling Green (MAC)",So.,6-10,C,32,51,1.59
79,"Kelvin Martin, Charleston So. (Big South)",Sr.,6-5,F,31,51,1.65
51,"Erik Copes, George Mason (CAA)",Fr.,6-8,F,27,51,1.89
118,"Jackie Carmichael, Illinois St. (MVC)",Jr.,6-9,F,35,50,1.43
103,"Edward Daniel, Murray St. (OVC)",Jr.,6-7,F,33,50,1.52
103,"Kyle Barone, Idaho (WAC)",Jr.,6-10,C,33,50,1.52
55,"Demarquelle Tabb, Alabama A&M (SWAC)",Jr.,6-5,F,27,50,1.85
108,"Mike Cobbins, Oklahoma St. (Big 12)",Fr.,6-8,F,33,49,1.48
95,"Justin Glenn, Lipscomb (ASUN)",Sr.,6-8,C,31,49,1.58
37,"Mike Allison, Maine (America East)",Jr.,6-9,C,22,49,2.23
126,"LaRon Dendy, Middle Tenn. (Sun Belt)",Sr.,6-9,F,34,48,1.41
114,"Erik Etherly, Loyola Maryland (MAAC)",Jr.,6-7,F,33,48,1.45
114,"Nick Cook, Jacksonville St. (OVC)",So.,6-6,F,33,48,1.45
114,"Ben Aird, Utah Valley (GWC)",So.,6-9,C,33,48,1.45
99,"Jabari Edwards, George Washington (Atlantic 10)",Sr.,6-10,F,31,48,1.55
77,"Nate Maxey, A&M-Corpus Christi (Southland)",Fr.,6-11,F,29,48,1.66
147,"Brandon Davies, BYU (WCC)",Jr.,6-9,F,35,47,1.34
135,"Jamil Wilson, Marquette (AAC)",So.,6-7,F,34,47,1.38
135,"Jodd Maxey, USC Upstate (ASUN)",So.,6-8,F,34,47,1.38
120,"Robert Sacre, Gonzaga (WCC)",Sr.,7-0,C,33,47,1.42
109,"Djim Bandoumel, Idaho (WAC)",Sr.,6-8,F,32,47,1.47
66,"Philip Jurick, Oklahoma St. (Big 12)",Jr.,6-11,C,27,47,1.74
165,"Jon Smith, Ohio (MAC)",So.,6-7,F,37,46,1.24
159,"Chris Cooper, Old Dominion (CAA)",Sr.,6-9,C,36,46,1.28
159,"Devon Collier, Oregon St. (Pac-12)",So.,6-7,F,36,46,1.28
130,"Fred Sturdivant, Texas Southern (SWAC)",Jr.,6-7,F,33,46,1.39
130,"Terell Parks, Western Ill. (Summit League)",Jr.,6-7,F,33,46,1.39
101,"Jeremy Robinson, Chicago St. (GWC)",Jr.,6-9,F,30,46,1.53
80,"Chris Gaston, Fordham (Atlantic 10)",Jr.,6-7,F,28,46,1.64
80,"Dantiel Daniels, Southern Ill. (MVC)",Fr.,6-6,F,28,46,1.64
80,"Ian Childs, Morgan St. (MEAC)",So.,7-2,C,28,46,1.64
150,"Alex Oriakhi, UConn (AAC)",Jr.,6-9,C,34,45,1.32
140,"Henry Sims, Georgetown (AAC)",Sr.,6-10,C,33,45,1.36
