,,,,,,,
,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
1,"Jordan Bachynski, Arizona St. (Pac-12)",Sr.,7-2,C,33,133,4.03
2,"Khem Birch, UNLV (MWC)",Jr.,6-9,F,33,124,3.76
3,"Rhamel Brown, Manhattan (MAAC)",Sr.,6-7,F,33,120,3.64
8,"Isaiah Austin, Baylor (Big 12)",So.,7-1,C,38,119,3.13
15,"Michale Kyser, Louisiana Tech (C-USA)",Jr.,6-9,F,36,109,3.03
22,"Willie Cauley-Stein, Kentucky (SEC)",So.,7-0,F,37,106,2.86
14,"D.J. Covington, VMI (Big South)",Sr.,6-9,F,35,106,3.03
9,"Mamadou Ndiaye, UC Irvine (Big West)",Fr.,7-6,C,34,106,3.12
9,"Jordan Mickey, LSU (SEC)",Fr.,6-8,F,34,106,3.12
5,"Sim Bhullar, New Mexico St. (WAC)",So.,7-5,C,30,101,3.37
24,"K.J. McDaniels, Clemson (ACC)",Jr.,6-5,G,36,100,2.78
20,"Justin Jackson, Cincinnati (AAC)",Sr.,6-8,F,34,99,2.91
13,"Jyles Smith, Savannah St. (MEAC)",Sr.,6-9,F,32,98,3.06
4,"D,J. Cunnigham, UNC Asheville (Big South)",Sr.,6-10,C,27,98,3.63
30,"Da'Shonte Riley, Eastern Mich. (MAC)",Sr.,7-0,C,37,96,2.59
23,"Reggie Lynch, Illinois St. (MVC)",Fr.,6-10,C,34,96,2.82
11,"A.J. Hammons, Purdue (Big Ten)",So.,7-0,C,31,96,3.1
19,"Chris Obekpa, St. John's (NY) (Big East)",So.,6-9,C,32,94,2.94
7,"Alec Brown, Green Bay (Horizon)",Sr.,7-1,C,30,94,3.13
6,"Cedric Kuakumensah, Brown (Ivy League)",So.,6-8,F,29,93,3.21
44,"Amida Brimah, UConn (AAC)",Fr.,7-0,C,40,92,2.3
16,"Du'Vaughn Maxwell, Hampton (MEAC)",Sr.,6-7,F,31,92,2.97
16,"Z. Mason, Chattanooga (SoCon)",Sr.,6-5,F,31,92,2.97
16,"Ian Chiles, Morgan St. (MEAC)",Sr.,7-2,C,31,92,2.97
12,"Chris Horton, Austin Peay (OVC)",So.,6-8,C,30,92,3.07
28,"Shawn Long, Louisiana (Sun Belt)",So.,6-9,F,34,91,2.68
26,"Tashawn Thomas, Houston (AAC)",Jr.,6-8,G,33,90,2.73
34,"Skylar Spencer, San Diego St. (MWC)",So.,6-10,F,36,89,2.47
21,"Naofall Folahan, Wagner (NEC)",Sr.,6-11,C,31,89,2.87
25,"Richaun Holmes, Bowling Green (MAC)",Jr.,6-8,F,32,88,2.75
