,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
2,"Amida Brimah, UConn (AAC)",So.,7-0,C,35,121,3.46
1,"Jordan Mickey, LSU (SEC)",So.,6-8,F,31,113,3.65
4,"Justin Tuoyo, Chattanooga (SoCon)",So.,6-10,F,32,104,3.25
6,"Hassan Martin, Rhode Island (Atlantic 10)",So.,6-7,F,33,103,3.12
12,"Michale Kyser, Louisiana Tech (C-USA)",Sr.,6-10,F,36,102,2.83
7,"Adrian Diaz, FIU (C-USA)",Jr.,6-10,F,33,99,3
11,"Vashil Fernandez, Valparaiso (Horizon)",Sr.,6-10,F,34,98,2.88
13,"A.J. Hammons, Purdue (Big Ten)",Jr.,7-0,C,34,96,2.82
15,"Kendall Gray, Delaware St. (MEAC)",Sr.,6-10,C,34,95,2.79
18,"Jordan Bell, Oregon (Pac-12)",Fr.,6-9,F,35,94,2.69
5,"Chris Obekpa, St. John's (NY) (Big East)",Jr.,6-10,C,30,94,3.13
14,"Reggie Lynch, Illinois St. (MVC)",So.,6-10,C,33,93,2.82
3,"Austin Nichols, Memphis (AAC)",So.,6-8,F,27,93,3.44
25,"Skylar Spencer, San Diego St. (MWC)",Jr.,6-10,F,36,91,2.53
25,"Beejay Anya, NC State (ACC)",So.,6-9,F,36,91,2.53
17,"Christian Wood, UNLV (MWC)",So.,6-10,F,33,90,2.73
9,"Goodluck Okonoboh, UNLV (MWC)",Fr.,6-10,F,31,90,2.9
21,"Myles Turner, Texas (Big 12)",Fr.,6-11,F,34,89,2.62
37,"Karl-Anthony Towns, Kentucky (SEC)",Fr.,6-11,F,39,88,2.26
8,"Ousmane Drame, Quinnipiac (MAAC)",Sr.,6-9,F,30,88,2.93
28,"Jameel Warney, Stony Brook (America East)",Jr.,6-8,F,35,87,2.49
10,"Phillip Anglade, VMI (SoCon)",Jr.,6-5,F,30,87,2.9
32,"Michael Holyfield, Sam Houston St. (Southland)",Sr.,6-10,C,35,86,2.46
19,"Richaun Holmes, Bowling Green (MAC)",Sr.,6-8,F,31,83,2.68
33,"Sir'Dominic Pointer, St. John's (NY) (Big East)",Sr.,6-6,F,33,80,2.42
16,"Amdy Fall, St. Francis Brooklyn (NEC)",Jr.,6-6,F,29,80,2.76
31,"Carson Desrosiers, Providence (Big East)",Sr.,7-0,C,32,79,2.47
20,"AJ West, Nevada (MWC)",Jr.,6-9,F,30,79,2.63
22,"Jaleel Roberts, UNC Asheville (Big South)",Sr.,7-0,C,30,78,2.6
22,"Youssou Ndoye, St. Bonaventure (Atlantic 10)",Sr.,7-0,C,30,78,2.6
29,"Rakeem Christmas, Syracuse (ACC)",Sr.,6-9,F,31,77,2.48
24,"Cedric Kuakumensah, Brown (Ivy League)",Jr.,6-8,F,30,76,2.53
27,"Jito Kok, San Diego (WCC)",Jr.,6-9,C,30,75,2.5
41,"Egidijus Mockevicius, Evansville (MVC)",Jr.,6-10,C,34,74,2.18
34,"Justin Sears, Yale (Ivy League)",Jr.,6-8,F,31,73,2.35
55,"Len Springs, Northern Ariz. (Big Sky)",Sr.,6-10,C,38,72,1.89
30,"Collin Spickerman, Portland St. (Big Sky)",Jr.,6-8,F,29,72,2.48
47,"Ethan O'Day, Vermont (America East)",Jr.,6-9,F,34,71,2.09
51,"Damian Jones, Vanderbilt (SEC)",So.,6-10,C,35,70,2
35,"Chris Horton, Austin Peay (OVC)",Jr.,6-8,C,30,70,2.33
38,"Venky Jois, Eastern Wash. (Big Sky)",Jr.,6-8,F,31,69,2.23
56,"Mo Alie-Cox, VCU (Atlantic 10)",So.,6-6,F,36,68,1.89
51,"Tosin Mehinti, UAB (C-USA)",So.,6-9,F,34,68,2
36,"Maurice Ndour, Ohio (MAC)",Sr.,6-9,F,30,68,2.27
73,"Willie Cauley-Stein, Kentucky (SEC)",Jr.,7-0,F,39,67,1.72
53,"Octavius Ellis, Cincinnati (AAC)",Jr.,6-10,F,34,67,1.97
42,"Nino Johnson, Southeast Mo. St. (OVC)",Sr.,6-9,F,30,64,2.13
40,"Austin Lewis, McNeese (Southland)",Jr.,6-8,F,29,64,2.21
58,"Jakob Poeltl, Utah (Pac-12)",Fr.,7-0,F,34,63,1.85
50,"Landry Nnoko, Clemson (ACC)",Jr.,6-10,C,31,63,2.03
44,"Tyran de Lattibeaudiere, Lamar University (Southland)",Sr.,6-6,F,30,63,2.1
44,"Darryl Palmer, South Carolina St. (MEAC)",Jr.,6-7,F,30,63,2.1
44,"Jamal Hunter, Jacksonville St. (OVC)",Sr.,6-8,F,30,63,2.1
65,"Pascal Siakam, New Mexico St. (WAC)",Fr.,6-9,F,34,61,1.79
54,"Cady Lalanne, Massachusetts (Atlantic 10)",Sr.,6-9,F,32,61,1.91
69,"Cameron Ridley, Texas (Big 12)",Jr.,6-9,C,34,60,1.76
71,"Jimmie Taylor, Alabama (SEC)",So.,6-10,F,34,59,1.74
66,"Nnanna Egwu, Illinois (Big Ten)",Sr.,6-11,C,33,59,1.79
59,"Alex Olah, Northwestern (Big Ten)",Jr.,7-0,C,32,59,1.84
84,"Branden Dawson, Michigan St. (Big Ten)",Sr.,6-6,F,35,58,1.66
70,"Steve Zack, La Salle (Atlantic 10)",Sr.,6-11,C,33,58,1.76
48,"Keaton Jackson, SIUE (OVC)",Sr.,6-10,F,28,58,2.07
119,"Frank Kaminsky, Wisconsin (Big Ten)",Sr.,7-0,F,39,57,1.46
72,"Reggis Onwukamuche, Prairie View (SWAC)",Sr.,6-9,C,33,57,1.73
60,"Will Kelly, Navy (Patriot)",Jr.,6-9,F,31,57,1.84
89,"Nick Shepherd, Texas Southern (SWAC)",Sr.,6-10,C,35,56,1.6
86,"Jarrod Uthoff, Iowa (Big Ten)",Jr.,6-9,F,34,56,1.65
86,"Shawn Long, Louisiana (Sun Belt)",Jr.,6-9,F,34,56,1.65
63,"David Collette, Utah St. (MWC)",Fr.,6-8,F,31,56,1.81
81,"Brice Kofane, Monmouth (MAAC)",Sr.,6-7,F,33,55,1.67
67,"Demarcus Daniels, North Florida (ASUN)",Jr.,6-7,F,31,55,1.77
49,"Josh Ibarra, Houston Baptist (Southland)",Fr.,6-10,C,27,55,2.04
129,"Jahlil Okafor, Duke (ACC)",Fr.,6-11,C,38,54,1.42
99,"Richard Ross, Old Dominion (C-USA)",Sr.,6-7,F,35,54,1.54
91,"Gabriel Olaseni, Iowa (Big Ten)",Sr.,6-10,C,34,54,1.59
77,"Steven Burroughs, N.C. A&T (MEAC)",So.,6-9,C,32,54,1.69
64,"Shonn Miller, Cornell (Ivy League)",Sr.,6-7,F,30,54,1.8
57,"Gabas Maldunas, Dartmouth (Ivy League)",Sr.,6-9,F,29,54,1.86
107,"Tashawn Thomas, Oklahoma (Big 12)",Sr.,6-8,F,35,53,1.51
107,"Khaliq Spicer, Kent St. (MAC)",Jr.,6-9,F,35,53,1.51
94,"Jordan Dickerson, Penn St. (Big Ten)",Jr.,7-1,C,34,53,1.56
85,"Ben Lawson, Western Ky. (C-USA)",So.,7-1,F,32,53,1.66
61,"Michael Cobbins, Oklahoma St. (Big 12)",Sr.,6-8,F,29,53,1.83
39,"Luke Fischer, Marquette (Big East)",So.,6-11,C,24,53,2.21
92,"Amir Williams, Ohio St. (Big Ten)",Sr.,6-11,C,33,52,1.58
92,"Mikael Hopkins, Georgetown (Big East)",Sr.,6-9,F,33,52,1.58
79,"Brandon Peel, Central Conn. St. (NEC)",Jr.,6-7,F,31,52,1.68
79,"Taylor Johns, UC Riverside (Big West)",Jr.,6-7,F,31,52,1.68
147,"Majok Deng, La.-Monroe (Sun Belt)",Jr.,6-10,F,38,51,1.34
140,"Tonye Jekiri, Miami (FL) (ACC)",Jr.,7-0,C,37,51,1.38
120,"Damonte Dodd, Maryland (Big Ten)",So.,6-9,F,35,51,1.46
97,"William Lee, UAB (C-USA)",Fr.,6-9,F,33,51,1.55
97,"Dionte Ferguson, South Ala. (Sun Belt)",Sr.,6-6,F,33,51,1.55
75,"Joel Bolomboy, Weber St. (Big Sky)",Jr.,6-9,F,30,51,1.7
43,"Marvin Frazier, Northwestern St. (Southland)",Sr.,6-8,C,24,51,2.13
135,"Bobby Portis, Arkansas (SEC)",So.,6-10,F,36,50,1.39
135,"Daniel Ochefu, Villanova (Big East)",Jr.,6-11,F,36,50,1.39
106,"RJ White, UNCG (SoCon)",So.,6-8,C,33,50,1.52
81,"Eric Norman, Montana St. (Big Sky)",Sr.,6-9,F,30,50,1.67
124,"Brandon Swannegan, Tulsa (AAC)",Jr.,6-8,F,34,49,1.44
124,"Brandon Holcomb, Radford (Big South)",Jr.,6-7,C,34,49,1.44
112,"David Kravish, California (Pac-12)",Sr.,6-10,F,33,49,1.48
112,"Daquan Holiday, NJIT (Independent)",Sr.,6-7,F,33,49,1.48
102,"Devonte Upson, Southeastern La. (Southland)",Sr.,6-9,C,32,49,1.53
102,"Tanner Clayton, SFA (Southland)",Sr.,6-9,F,32,49,1.53
76,"Jake Zuilhof, Central Ark. (Southland)",---,0-0,C,29,49,1.69
185,"Matt Costello, Michigan St. (Big Ten)",Jr.,6-9,F,39,48,1.23
121,"Thomas van der Mars, Portland (WCC)",Sr.,6-11,C,33,48,1.45
121,"Greg Mays, Green Bay (Horizon)",Sr.,6-9,F,33,48,1.45
109,"Tevin Falzon, Sacred Heart (NEC)",Jr.,6-7,F,32,48,1.5
95,"Javion Ogunyemi, Siena (MAAC)",So.,6-8,F,31,48,1.55
95,"Dan Garvin, Bryant (NEC)",So.,6-6,F,31,48,1.55
89,"Malcolm Miller, Holy Cross (Patriot)",Sr.,6-7,F,30,48,1.6
74,"Tai Odiase, Ill.-Chicago (Horizon)",Fr.,6-9,C,28,48,1.71
137,"Prince Ibeh, Texas (Big 12)",Jr.,6-10,C,34,47,1.38
137,"Anton Grady, Cleveland St. (Horizon)",Jr.,6-8,F,34,47,1.38
137,"Wesley Gordon, Colorado (Pac-12)",So.,6-9,F,34,47,1.38
128,"Ashton Pankey, Manhattan (MAAC)",Jr.,6-10,F,33,47,1.42
116,"Xavier Cooks, Winthrop (Big South)",Fr.,6-8,F,32,47,1.47
104,"Marin Mornar, Loyola Marymount (WCC)",Jr.,6-9,F,31,47,1.52
104,"Chris Kading, North Dakota St. (Summit League)",Jr.,6-8,F,31,47,1.52
88,"Liam Thomas, Nicholls St. (Southland)",So.,6-10,F,29,47,1.62
62,"Alan Williams, UC Santa Barbara (Big West)",Sr.,6-7,C,26,47,1.81
182,"Kennedy Meeks, North Carolina (ACC)",So.,6-9,F,37,46,1.24
160,"Karrington Ward, Eastern Mich. (MAC)",Sr.,6-7,F,35,46,1.31
145,"Johnathan Motley, Baylor (Big 12)",Fr.,6-9,F,34,46,1.35
145,"Mangok Mathiang, Louisville (ACC)",So.,6-10,C,34,46,1.35
126,"Duby Okeke, Winthrop (Big South)",So.,6-8,C,32,46,1.44
114,"Kentwan Smith, Stetson (ASUN)",Sr.,6-8,F,31,46,1.48
68,"Josh Scott, Colorado (Pac-12)",Jr.,6-10,F,26,46,1.77
155,"David Laury, Iona (MAAC)",Sr.,6-9,F,34,45,1.32
155,"Obi Enechionyia, Temple (AAC)",Fr.,6-8,F,34,45,1.32
155,"Gary Clark, Cincinnati (AAC)",Fr.,6-7,F,34,45,1.32
143,"Chris Washburn, TCU (Big 12)",So.,6-8,F,33,45,1.36
133,"Yante Maten, Georgia (SEC)",Fr.,6-8,F,32,45,1.41
123,"Zach Smith, Texas Tech (Big 12)",Fr.,6-8,F,31,45,1.45
109,"David Onuorah, Cornell (Ivy League)",So.,6-9,F,30,45,1.5
109,"Kevin Ferguson, Army West Point (Patriot)",Jr.,6-10,C,30,45,1.5
81,"Alonzo Nelson-Ododa, Richmond (Atlantic 10)",Jr.,6-9,F,27,45,1.67
179,"Curtis Washington, Georgia St. (Sun Belt)",Sr.,6-10,F,35,44,1.26
148,"Maurice Walker, Minnesota (Big Ten)",Sr.,6-10,F,33,44,1.33
148,"Tre Hale-Edmerson, CSUN (Big West)",Jr.,6-9,F,33,44,1.33
148,"Devonte Elliott, CSUN (Big West)",Sr.,6-10,C,33,44,1.33
148,"Laimonas Chatkevicius, South Carolina (SEC)",Jr.,6-11,F,33,44,1.33
148,"Boris Bojanovsky, Florida St. (ACC)",Jr.,7-3,C,33,44,1.33
141,"Jervon Pressley, Hampton (MEAC)",Jr.,6-8,F,32,44,1.38
130,"Dan Kimasa, UTRGV (WAC)",Fr.,6-9,F,31,44,1.42
117,"Thaddeus Smith, UMKC (WAC)",Jr.,6-9,C,30,44,1.47
186,"Scott Eatherton, Northeastern (CAA)",Sr.,6-8,F,35,43,1.23
163,"Denell Henderson, Oral Roberts (Summit League)",Sr.,6-7,F,33,43,1.3
127,"Steve Moundou-Missi, Harvard (Ivy League)",Sr.,6-7,F,30,43,1.43
115,"Dwight Meikle, Hampton (MEAC)",Jr.,6-8,F,29,43,1.48
100,"Zech Smith, Morgan St. (MEAC)",Sr.,7-0,C,28,43,1.54
100,"Ruben Guerrero, South Fla. (AAC)",Fr.,6-11,C,28,43,1.54
221,"Brice Johnson, North Carolina (ACC)",Jr.,6-9,F,38,42,1.11
192,"Chinanu Onuaku, Louisville (ACC)",Fr.,6-10,C,35,42,1.2
192,"Montrezl Harrell, Louisville (ACC)",Jr.,6-8,F,35,42,1.2
184,"James Siakam, Vanderbilt (SEC)",Sr.,6-7,F,34,42,1.24
167,"Demetris Morant, FGCU (ASUN)",So.,6-9,F,33,42,1.27
167,"Pat Forsythe, Akron (MAC)",Jr.,6-11,C,33,42,1.27
167,"Tim Coleman, NJIT (Independent)",So.,6-5,F,33,42,1.27
167,"Nathan Boothe, Toledo (MAC)",Jr.,6-10,C,33,42,1.27
161,"Danrad Knowles, Houston (AAC)",So.,6-10,F,32,42,1.31
144,"Obij Aget, New Mexico (MWC)",So.,7-1,C,31,42,1.35
134,"William Truss, Presbyterian (Big South)",Sr.,6-8,C,30,42,1.4
78,"Nate Maxey, N.C. Central (MEAC)",Jr.,6-11,C,25,42,1.68
236,"Quinton Upshur, Northern Ariz. (Big Sky)",Sr.,6-5,G,38,41,1.08
