Search:,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
1,"Liam Thomas, Nicholls St. (Southland)",Sr.,6-10,F,31,130,4.19
3,"Ben Lammers, Georgia Tech (Atlantic Coast)",Jr.,6-10,C,37,125,3.38
2,"Reggie Lynch, Minnesota (Big Ten)",Jr.,6-10,C,33,114,3.45
5,"Tai Odiase, Ill.-Chicago (Horizon)",Jr.,6-9,C,36,104,2.89
6,"Andre Washington, East Carolina (AAC)",Sr.,7-1,C,33,95,2.88
12,"Tacko Fall, UCF (AAC)",So.,7-6,C,36,94,2.61
8,"Jacob Wiley, Eastern Wash. (Big Sky)",Sr.,6-7,F,34,94,2.76
14,"Moses Kingsley, Arkansas (Southeastern)",Jr.,6-10,F,36,93,2.58
13,"Cameron Oliver, Nevada (Mountain West)",So.,6-8,F,35,91,2.6
9,"Mike Watkins, Penn St. (Big Ten)",Fr.,6-9,C,33,90,2.73
11,"Josh Nebo, Saint Francis (PA) (Northeast)",So.,6-8,C,34,89,2.62
7,"Justin Tuoyo, Chattanooga (Southern)",Sr.,6-10,F,31,89,2.87
25,"Jordan Bell, Oregon (Pac-12)",Jr.,6-9,F,39,88,2.26
17,"Jo Lual-Acuil Jr., Baylor (Big 12)",Jr.,7-0,F,35,87,2.49
10,"Amida Brimah, UConn (AAC)",Sr.,7-0,C,33,87,2.64
4,"Brandon Gilbeck, Western Ill. (Summit League)",So.,6-11,C,28,85,3.04
37,"Vladimir Brodziansky, TCU (Big 12)",Jr.,6-11,F,39,82,2.1
20,"William Lee, UAB (Conference USA)",Jr.,6-9,F,33,80,2.42
16,"Chris Boucher, Oregon (Pac-12)",Sr.,6-10,F,31,79,2.55
18,"Robert Williams, Texas A&M (Southeastern)",Fr.,6-9,F,31,77,2.48
15,"Brandon Clarke, San Jose St. (Mountain West)",So.,6-7,G,30,77,2.57
23,"Thik Bol, Southern Ill. (Missouri Valley)",Jr.,6-8,F,33,76,2.3
44,"Alan Herndon, Wyoming (Mountain West)",Jr.,6-9,F,38,74,1.95
30,"Kingsley Okoroh, California (Pac-12)",Jr.,7-1,C,34,74,2.18
26,"Dominic Robb, Niagara (Metro Atlantic)",So.,6-8,F,33,74,2.24
21,"Obediah Church, Missouri St. (Missouri Valley)",So.,6-7,F,31,74,2.39
19,"Hassan Martin, Rhode Island (Atlantic 10)",Sr.,6-7,F,30,73,2.43
36,"Nana Foulland, Bucknell (Patriot)",Jr.,6-9,C,34,72,2.12
28,"Isaiah Brock, Oakland (Horizon)",Fr.,6-8,F,33,72,2.18
40,"Luke Kornet, Vanderbilt (Southeastern)",Sr.,6-10,F,35,71,2.03
40,"Mo Alie-Cox, VCU (Atlantic 10)",Sr.,6-6,F,35,71,2.03
33,"Joniah White, Louisiana Tech (Conference USA)",Jr.,7-0,C,33,71,2.15
50,"Andrew Eudy, Campbell (Big South)",So.,6-7,F,37,70,1.89
56,"Zach Collins, Gonzaga (West Coast)",Fr.,7-0,F,39,69,1.77
39,"Rashawn Thomas, A&M-Corpus Chris (Southland)",Sr.,6-8,F,34,69,2.03
31,"Tariq Owens, St. John's (NY) (Big East)",So.,6-10,F,32,69,2.16
31,"Drew Eubanks, Oregon St. (Pac-12)",So.,6-10,F,32,69,2.16
35,"Dedric Lawson, Memphis (AAC)",So.,6-9,F,32,68,2.13
34,"Khadeem Lattin, Oklahoma (Big 12)",Jr.,6-9,F,31,66,2.13
22,"AJ Brodeur, Penn (Ivy League)",Fr.,6-8,F,28,66,2.36
51,"Amile Jefferson, Duke (Atlantic Coast)",Sr.,6-9,F,35,65,1.86
47,"Javion Ogunyemi, Siena (Metro Atlantic)",Sr.,6-10,F,34,65,1.91
38,"Anas Mahmoud, Louisville (Atlantic Coast)",Jr.,7-0,F,31,65,2.1
45,"Kassoum Yakwe, St. John's (NY) (Big East)",So.,6-7,F,33,64,1.94
42,"Aric Holman, Mississippi St. (Southeastern)",So.,6-10,F,32,64,2
52,"Eric Mika, BYU (West Coast)",So.,6-10,F,34,63,1.85
46,"Dominic Nelson, Southeastern La. (Southland)",Sr.,6-9,C,32,62,1.94
48,"Grant Williams, Tennessee (Southeastern)",Fr.,6-5,F,32,61,1.91
29,"Muusa Dama, Eastern Ill. (OVC)",Jr.,6-9,F,28,61,2.18
64,"Kevarrius Hayes, Florida (Southeastern)",So.,6-9,F,36,60,1.67
58,"Christian Cunningham, Jacksonville St. (OVC)",So.,6-7,F,34,59,1.74
24,"Hassan Attia, Hartford (America East)",Jr.,6-10,C,26,59,2.27
61,"Chris Brady, Monmouth (Metro Atlantic)",Sr.,6-10,C,34,58,1.71
86,"D.J. Wilson, Michigan (Big Ten)",Jr.,6-10,F,38,57,1.5
86,"Edrice Adebayo, Kentucky (Southeastern)",Fr.,6-10,F,38,57,1.5
55,"Ben Lawson, Western Ky. (Conference USA)",Sr.,7-1,F,32,57,1.78
62,"Xavier Cooks, Winthrop (Big South)",Jr.,6-8,F,33,56,1.7
53,"Moataz Aly, CSU Bakersfield (Western Athletic)",Jr.,6-9,C,31,56,1.81
81,"Chimezie Metu, Southern California (Pac-12)",So.,6-11,F,36,55,1.53
71,"Marvin Jones, Texas Southern (Southwestern)",Sr.,7-0,C,35,55,1.57
59,"Denzel Gregg, St. Bonaventure (Atlantic 10)",Sr.,6-7,F,32,55,1.72
49,"Jordan Butler, Norfolk St. (Mid-Eastern)",Jr.,6-6,F,29,55,1.9
27,"Jordan Bruner, Yale (Ivy League)",Fr.,6-9,F,25,55,2.2
86,"Chris Wray, Mt. St. Mary's (Northeast)",Jr.,6-8,F,36,54,1.5
75,"Nick Ward, Michigan St. (Big Ten)",Fr.,6-8,F,35,54,1.54
69,"Isaac Neilson, Utah Valley (Western Athletic)",Jr.,6-11,F,34,54,1.59
98,"Sagaba Konate, West Virginia (Big 12)",Fr.,6-8,F,37,53,1.43
65,"Ryan Taylor, Marshall (Conference USA)",Sr.,6-5,F,32,53,1.66
65,"Luke Fischer, Marquette (Big East)",Sr.,6-11,C,32,53,1.66
57,"Valentine Izundu, San Diego St. (Mountain West)",So.,6-10,C,30,53,1.77
79,"D.J. Johnson, Kansas St. (Big 12)",Sr.,6-9,F,34,52,1.53
79,"Thomas Bryant, Indiana (Big Ten)",So.,6-10,C,34,52,1.53
70,"John Collins, Wake Forest (Atlantic Coast)",So.,6-10,C,33,52,1.58
