ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Cambridge, Desmond AAMU",29,29,29.5,34.1,102.9,78.9,0.506,0.433,44.4,53.2,3.6,8.3,5.2,39.00%,9.30%,1.20%,16.70%
"2 Maxiell, Jason CIN",35,3,21,18.4,118.7,79.8,0.573,0.557,39,0,12.4,22.5,16.4,0.80%,1.90%,6.70%,9.60%
"3 Wade, Dwyane MARQ",32,32,29.2,33.5,109.3,83.1,0.543,0.507,33.8,11.4,10.8,16.2,12.6,27.90%,5.10%,4.50%,15.40%
"4 Little, Donald CIN",35,33,24.2,17.5,97,83.4,0.526,0.497,75.7,0,9.1,21.3,14.3,4.30%,0.60%,6.50%,21.10%
"5 Kent, Rashod RUTG",31,31,30.6,19.1,97.3,84.5,0.508,0.541,86.7,0,13.6,20.3,15.3,11.10%,3.40%,5.90%,18.10%
"6 Dunleavy, Mike DUKE",35,35,32.4,22.5,118.4,85.7,0.601,0.581,26.4,51.7,4.5,19.2,11.3,10.80%,3.70%,2.10%,11.00%
"7 Wiedemann, Chris COL",27,26,29.6,21,84.3,86.6,0.507,0.471,49.7,7.5,9.2,21.3,14.3,10.70%,1.50%,10.40%,26.50%
"8 Chambers, Shannon COLCH",22,20,22.9,21.8,104.1,86.7,0.524,0.458,57,15.5,9.9,19.1,13.7,9.20%,2.20%,5.20%,16.10%
"9 Benton, Mike COLCH",28,14,19,17.1,105,86.8,0.546,0.513,50.4,0,15.2,17.8,15.4,1.50%,1.50%,10.80%,18.80%
"10 Lett, Ontario PITT",35,1,18.1,24.2,110.5,87.1,0.593,0.57,49.8,0,13.6,16,13.5,9.20%,2.10%,6.40%,16.30%
"11 Blankson, Odartey MARQ",29,27,22.9,22,96.4,87.1,0.526,0.497,42.1,21,9,23,15,6.30%,2.30%,1.60%,20.30%
"12 Kitchings, Tony SCAR",34,13,20.5,21.8,93.3,87.1,0.48,0.458,37.3,0.5,11.3,25.6,16.5,9.50%,1.90%,5.20%,17.70%
"13 West, David XAVIER",32,32,34.2,26.6,115.3,87.1,0.621,0.548,65.8,7.9,10.1,21.7,15,10.70%,2.10%,7.00%,17.30%
"14 McFarlin, Ivan OKST",32,31,25.9,18.3,123.3,87.4,0.631,0.614,36,0,14.7,17.7,15.1,4.80%,3.30%,4.40%,13.30%
"15 Gooden, Drew KAN",37,36,30.3,29.2,111.7,87.6,0.56,0.512,36,6.4,12.3,24.7,17.6,11.00%,2.90%,4.10%,14.10%
"16 Lewis, Greg WINTHR",31,28,28,31.2,98.9,87.6,0.532,0.501,35.6,12.1,12.6,27.7,18,10.40%,3.20%,2.50%,17.30%
"17 Robinson, Ron CCSU",32,32,32,19.3,100.9,87.6,0.535,0.489,31,1.8,8.9,22.9,14.8,12.20%,2.50%,1.60%,20.60%
"18 Brown, Jabahri OU",30,24,21.9,12.5,107.3,87.7,0.511,0.504,27.2,0,11.8,16.9,13,7.10%,3.30%,6.40%,18.10%
"19 Eidson, Chuck SCAR",37,37,30,17.8,101.8,87.8,0.508,0.453,35,38.6,2.9,12.5,6.8,22.80%,4.90%,1.20%,18.20%
"20 Knight, Brandin PITT",35,35,36.7,25,106.6,88,0.526,0.53,32.4,57.5,2.5,12.3,6.9,39.30%,3.90%,1.40%,17.80%
"21 Obasuyi, Nosa RADFRD",31,15,23.2,16.8,93.9,88.1,0.485,0.444,51.9,0,10.4,17.9,13.1,9.00%,2.10%,10.30%,21.30%
"22 Stokes, Leonard CIN",35,35,28.3,22.9,111,88.2,0.56,0.505,46.4,25.5,5.4,12.3,8.3,9.50%,1.90%,1.30%,13.50%
"23 Howell, Rolando SCAR",36,31,26.4,20.6,106.6,88.3,0.522,0.498,42.6,0.3,10.4,17.1,12.4,8.30%,3.70%,1.90%,11.10%
"24 Linehan, John PROV",31,30,33.7,19,109.4,88.3,0.548,0.48,38.4,53,3,9.8,5.7,26.70%,7.40%,0.00%,16.90%
"25 Merritt, Scott MARQ",33,20,20,17.9,97.4,88.4,0.538,0.458,62.7,2.1,7.3,18.7,12.2,6.50%,1.90%,4.80%,23.00%
"26 Violette, Cory GONZ",33,31,26.3,22.8,119.2,88.7,0.57,0.516,40.9,12.5,12.3,21.3,15.7,7.30%,2.00%,3.50%,10.40%
"27 Okafor, Emeka UCONN",34,34,30,12.4,116.1,88.7,0.611,0.59,51.7,0,10.5,20.4,14.2,4.40%,1.40%,12.40%,17.70%
"28 Southall, Michael UL-Laf",31,29,28.6,22.8,107.2,88.7,0.565,0.544,58.3,0,9.9,17.6,12.8,16.30%,1.60%,10.80%,16.30%
"29 Edwards, Corsley CCSU",32,32,31,25.5,114,88.8,0.57,0.504,51,0,15.6,16,14.3,6.70%,2.70%,5.00%,14.10%
"30 Davis, Kyle AUB",24,14,20.3,17.9,85.2,88.8,0.483,0.464,56.3,0,10.1,17,12.3,5.10%,1.50%,15.70%,23.50%
"31 Haslem, Udonis FLA",31,31,28.3,25.3,118.8,88.9,0.626,0.562,90.1,0.4,10.9,21.3,14.7,11.10%,1.80%,4.80%,15.80%
"32 Curry, Raynardo WKU",29,18,20.4,16.6,104.3,89,0.543,0.449,68.6,24.6,2.8,9.1,5.5,18.70%,4.90%,0.50%,23.00%
"33 Hainje, Rylan BUTLER",32,31,31.8,25.5,114.6,89.1,0.61,0.563,52,33.5,6.2,19.2,11.5,12.20%,3.30%,1.10%,14.20%
"34 Ray, Brennan USU",31,3,20.6,11.9,106.5,89.1,0.598,0.493,87.7,0,10.2,18.1,13.1,6.90%,2.30%,2.50%,27.30%
"35 Nicholson, Garik AAMU",29,24,22.8,16.1,80.7,89.1,0.411,0.364,38.2,0.6,8.7,16.8,11.3,4.70%,2.00%,3.40%,22.00%
"36 Wadood, Zakee ETNST",28,22,29.5,22.2,112.9,89.3,0.558,0.519,39.8,15.9,13.8,18.6,14.8,6.90%,3.00%,4.10%,13.60%
"37 Selvy, Daryan OU",36,3,23.4,16.2,104.3,89.3,0.511,0.479,23.4,13.1,9.2,13.8,10.4,8.40%,4.10%,2.50%,17.20%
"38 Gentry, Fred MCNEES",30,30,28.3,18.9,106.8,89.3,0.617,0.599,60.9,0,9,19.4,12.8,5.50%,2.20%,4.20%,20.30%
"39 Wise, Kelly MEM",32,25,30.3,17.9,107.9,89.3,0.58,0.568,44.4,0,12,22.4,15.9,7.20%,1.60%,4.80%,19.50%
"40 Fields, Bruce GARDWB",27,27,29.6,20.6,110.3,89.3,0.565,0.516,48.6,24.1,8.6,18,12.3,20.20%,4.10%,1.60%,18.30%
"41 Brown, Jaron PITT",35,34,29.5,18.5,104.4,89.4,0.552,0.526,37.9,9.5,10.6,13.4,10.9,14.70%,2.80%,2.00%,21.10%
"42 Warner, Calvin JKSNVL",29,25,28.4,28.3,95.5,89.5,0.512,0.481,31.2,16.5,10.5,21.6,14.6,9.80%,2.10%,6.20%,19.70%
"43 Massie, Chris MEM",36,20,21.7,21.5,112.3,89.5,0.568,0.562,65.3,0.4,18.2,22.7,18.8,7.70%,1.90%,2.00%,16.10%
"44 Vague, Jeremy USU",31,29,20.7,22.4,113.1,89.6,0.591,0.578,40.1,0.5,14.5,18.5,15.2,6.90%,1.20%,5.80%,14.40%
"45 Granger, Danny BRAD",29,17,24.9,26.3,103.4,89.7,0.53,0.45,50,6.9,12.5,21.7,15.8,8.30%,3.20%,11.30%,15.40%
"46 Jackson, Thomas BUTLER",32,32,33.3,22.9,116.7,89.7,0.566,0.529,30,38.8,1.9,11.7,6.1,29.70%,4.50%,0.50%,12.30%
"47 Moore, Nigel AAMU",29,19,22.3,23.1,104.4,89.7,0.559,0.524,25.3,22,9.3,14.3,10.5,7.10%,2.80%,1.20%,16.70%
"48 McElroy, Immanuel CIN",35,35,30.6,17.4,109.9,89.7,0.52,0.477,33.8,10.1,7.5,11.2,8.7,15.10%,1.50%,1.00%,15.10%
"49 Roberts, Rolan SIU",36,35,26.6,24.8,110.8,89.8,0.579,0.605,54.8,0,10.3,18.2,13.1,13.60%,2.50%,8.90%,13.10%
"50 Hayes, Anthony AAMU",29,9,20.7,20.2,101.9,89.8,0.581,0.549,35,13.3,7.7,14.9,10,8.20%,2.40%,2.00%,20.70%
"Dobbins, Tony RICH",35,14,24.7,26.7,96.7,89.8,0.49,0.424,50.7,21.5,10.1,16.4,12.2,10.70%,5.30%,1.30%,14.10%
"Adams, Kim ARKST",30,5,21.4,13.3,116.4,89.8,0.616,0.582,50.9,0,14.9,22,16.8,6.40%,3.40%,2.70%,21.60%
