ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Lett, Ontario PITT",33,25,20.2,25.1,107.3,83.2,0.618,0.608,54.1,0,14.1,15.6,13.4,12.10%,3.20%,6.60%,21.10%
"2 Graves, Jeff KAN",38,25,19.9,16.5,100.7,84.5,0.537,0.509,53.8,0,13,22.6,16.7,7.00%,3.50%,3.00%,23.20%
"3 Lalugba, Boakai BUCK",29,29,32.6,30.8,92.2,84.7,0.527,0.495,69.5,1.9,10.3,27.2,17.2,20.80%,3.00%,4.20%,22.00%
"4 Kinsey, Greg HC",31,27,19.8,16.7,91.7,84.7,0.458,0.423,33.8,27.9,4.5,15.1,9,16.50%,5.00%,1.80%,20.80%
"5 Jones, Dwayne STJOES",30,1,21,13,98.9,84.9,0.494,0.526,77.9,0,12.7,21.1,15.7,2.50%,1.10%,10.00%,18.00%
"6 Billings, Nick BINGHM",27,26,23.4,21.9,95.3,85,0.556,0.551,24.7,0.5,7.8,23.3,14.4,6.00%,2.10%,17.70%,20.00%
"7 Troutman, Chevon PITT",31,3,22.5,20.7,125.5,85.2,0.713,0.721,61.7,3.2,11.4,16,12.5,9.20%,3.30%,2.20%,15.80%
"8 Araujo, Rafael BYU",32,32,25.1,27.7,101.8,86.7,0.587,0.563,39.2,4,14.5,27.9,19.5,11.80%,3.50%,2.10%,22.60%
"9 Fobbs, Eddy SHSU",29,9,18.3,21.2,102.6,86.7,0.599,0.565,91.1,0,14.2,18.8,15.5,3.90%,1.40%,14.50%,22.70%
"10 Krauser, Carl PITT",32,1,18.6,19.9,100.9,86.7,0.576,0.518,51.5,39.7,2.6,14.8,8.2,26.90%,3.40%,0.00%,28.00%
"11 Davis, Paul MSU",35,5,17.8,27,97.4,86.8,0.516,0.44,73.1,3,8.3,23.9,15,5.50%,3.30%,3.60%,16.10%
"12 Brown, Jabahri OU",32,21,22.5,20,94.4,87.1,0.461,0.437,24.1,0,10.4,18.1,12.9,13.60%,2.80%,5.90%,19.10%
"13 Randle, Ryan MD",31,31,25.5,25.5,103.8,87.2,0.519,0.497,28,1.2,11,18.1,13.5,6.50%,3.10%,4.70%,11.60%
"14 Knight, Brandin PITT",33,33,32.9,22.8,99.8,87.4,0.481,0.453,36.1,55.7,2.5,10.1,5.9,34.10%,3.90%,1.30%,20.80%
"15 Sweetney, Mike GTOWN",34,34,32.4,29.6,124.1,87.4,0.615,0.547,69.6,0.6,13.4,20.9,15.5,14.90%,2.50%,10.10%,10.10%
"16 Collison, Nick KAN",38,38,32.4,25.2,116.6,87.4,0.59,0.567,39.4,7.5,11.1,21.2,15.1,12.40%,1.90%,5.70%,13.40%
"17 Iguodala, Andre ARIZ",32,4,19.2,19.5,101.4,87.5,0.469,0.406,48.6,24.3,10.6,15.2,12,16.90%,4.10%,2.70%,18.20%
"18 Lufkin, Nate HC",31,0,15.1,18.5,107.8,87.5,0.616,0.619,46.8,3.7,11.1,16.7,12.7,10.10%,1.90%,7.00%,20.60%
"19 Poole, Chase STMARY",30,24,23.4,22.7,95.4,87.5,0.545,0.536,50.8,5.6,11,19.5,13.8,11.50%,3.80%,2.70%,22.20%
"20 West, David XAVIER",32,32,36.5,25.6,122.8,87.6,0.61,0.524,61.7,6.3,9.7,25.5,16.5,18.30%,2.10%,4.20%,13.90%
"21 Wadood, Zakee ETNST",29,28,32.5,21.6,106.5,87.7,0.569,0.521,54.1,17.5,8.9,17.8,12.4,12.30%,5.10%,6.80%,19.30%
"22 Whearty, Patrick HC",31,30,23.8,25.2,120.8,88.2,0.624,0.567,55.2,0.4,15.6,18.7,15.6,8.10%,1.30%,6.40%,13.70%
"23 Davis, Kyle AUB",34,28,22.6,18.9,91.6,88.3,0.468,0.451,43,0,13.7,17,14.2,6.90%,2.30%,17.50%,21.30%
"24 Cole, Donald SHSU",30,26,28,30.1,111.9,88.4,0.616,0.581,44.5,23.2,10.6,21.3,15.2,12.50%,2.00%,5.70%,15.30%
"25 Augustine, James ILL",32,29,21.8,16.8,110.6,88.4,0.619,0.596,27.8,8.6,11.7,19.1,14.4,6.70%,1.70%,4.40%,19.80%
"26 Minoff, Matt YALE",27,23,25.6,17.6,105.9,88.4,0.557,0.512,35.8,33.3,6.1,22.7,13.5,21.40%,3.60%,4.50%,20.40%
"27 Nelson, Jameer STJOES",30,30,34.9,30.7,113.6,88.4,0.565,0.509,40.5,42.6,4.5,11.8,7.7,32.90%,3.90%,0.60%,14.30%
"28 Lloreda, Jaime LSU",30,29,29.2,22.8,107.4,88.5,0.576,0.563,57.8,0.4,13.9,22,16.8,7.80%,1.80%,7.30%,17.50%
"29 Callahan, Craig UNCWIL",31,31,28.7,32.4,104.2,88.6,0.516,0.485,29.8,24.1,8.2,20.3,13.3,9.10%,2.30%,1.10%,9.00%
"30 Kann, Anthony WMU",30,30,31.3,24.1,111.3,88.6,0.576,0.529,49.2,7.1,12.4,20.9,14.8,9.90%,3.80%,1.60%,15.70%
"31 Battle, Robert DREXEL",31,31,30.3,24.6,113.7,88.8,0.592,0.527,73.5,0.3,11,19.4,13.9,6.50%,1.50%,12.80%,13.20%
"32 Brown, Jaron PITT",33,33,30.5,18.5,111.5,88.9,0.582,0.556,31.5,15.7,8.7,11.2,9.1,11.90%,2.70%,2.20%,16.50%
"33 Hicks, Chakowby NORFST",29,10,26.5,25.2,100.2,89.1,0.535,0.487,37.6,29.3,6.2,12.9,8.6,24.20%,5.10%,3.00%,19.90%
"34 Allen, Tony OKST",32,28,31.2,26,102.4,89.1,0.534,0.488,41.6,20.8,6.1,13,8.9,19.00%,3.70%,2.50%,17.20%
"35 Zimmerman, Derrick MSST",31,31,33.1,17.7,99.6,89.1,0.551,0.512,46.2,25,3,11.5,6.8,30.60%,3.50%,2.90%,29.60%
"36 Okafor, Emeka UCONN",33,33,32.9,21.7,112.6,89.3,0.594,0.58,36,0,12.6,20.9,15.4,3.20%,1.50%,12.60%,14.50%
"37 Caner-Medley, Nik MD",31,18,16.7,16.8,113.2,89.3,0.583,0.572,31.2,19.6,10.6,11.5,10.1,10.00%,4.00%,4.00%,15.60%
"38 Deren, Brody CREIGH",34,34,18.9,23.9,96.5,89.3,0.539,0.567,47.8,0,9.5,22.9,15.1,11.10%,1.10%,8.50%,19.90%
