ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Evans, Tyreke MEM",37,35,29,33.1,102.2,82.5,0.535,0.489,38.4,24.6,5,15.3,9.4,30.00%,4.30%,2.80%,18.40%
"2 Kingsley, Matt SFA",32,32,30,27.8,107.2,82.6,0.57,0.548,31.6,0.3,7.5,22,13.5,7.80%,1.00%,4.50%,11.60%
"3 Williams, Terrence LOU",37,36,34.2,20.7,108.8,83.1,0.522,0.504,29.8,37.8,4.5,22.7,12.9,27.00%,4.00%,2.30%,16.20%
"4 Brenton, Tommy STNBRK",30,29,28.5,13.5,112.4,83.9,0.566,0.527,79.4,15.3,9.6,28.4,16.8,12.30%,3.90%,2.50%,18.50%
"5 Dozier, Robert MEM",37,36,30.2,20.6,116.7,84.3,0.603,0.552,53.8,17.5,10.7,16.5,12.5,9.30%,2.50%,5.60%,15.80%
"6 Thabeet, Hasheem UCONN",36,36,31.8,18.9,122.1,84.3,0.659,0.64,76.3,0,13.4,21.7,16.4,2.90%,1.10%,11.90%,15.50%
"7 Taggart, Shawn MEM",37,27,25,19.9,120,84.5,0.578,0.516,50.9,8.4,13.6,19.9,15.4,2.80%,1.50%,5.60%,10.90%
"8 Daye, Austin GONZ",34,33,26.3,25.9,102.8,84.8,0.566,0.532,32.7,25.2,5,22.5,13.3,7.80%,1.60%,8.40%,16.10%
"9 Jackson, Cedric CLEVST",37,37,33.3,23.3,92.4,85,0.485,0.439,45.8,31.3,4.1,16.5,9.3,33.20%,5.70%,0.60%,24.20%
"10 Shaw, Nick SFA",32,32,29.7,12.8,100.7,85.3,0.54,0.515,28.2,43.6,4.7,18.7,10.6,10.10%,1.30%,0.70%,19.40%
"11 Faried, Kenneth MOREHD",36,36,30.1,23.6,113.1,85.7,0.577,0.559,54.2,1.4,16.5,33.3,23,11.50%,3.80%,7.20%,15.60%
"12 Aldrich, Cole KAN",35,35,29.6,21.9,126.9,86,0.649,0.598,46.2,0,12.5,28.4,19.4,7.20%,1.20%,9.60%,12.30%
"13 Linhart, Nate AKRON",36,36,29.9,19.6,105.3,86.2,0.562,0.512,31.5,42.2,6.7,18.1,11.1,11.00%,3.60%,2.00%,18.20%
"14 Davis, Mike ILL",34,34,30.7,21,107,86.2,0.551,0.533,18.7,0,7.4,23.5,14.6,13.80%,1.40%,2.30%,12.80%
"15 Bryant, John SCU",33,33,31,28.4,121.7,86.2,0.649,0.596,48.3,0.3,18.6,36.2,26.5,9.70%,1.00%,9.00%,15.10%
"16 Blakely, Marqus UVM",33,32,32.7,25,109.4,86.4,0.618,0.612,72.1,0.9,10.7,20.9,14.7,16.60%,3.60%,8.40%,20.10%
"17 Williams, Eddie SFA",32,23,24.3,18.6,100.7,86.7,0.505,0.495,24.5,22.6,0.9,9.1,4.6,22.60%,2.60%,0.70%,13.30%
"18 Casto, DeAngelo WSU",33,2,16.1,17.7,102.4,86.9,0.595,0.558,62.1,0,10.9,20.5,14.7,6.40%,1.80%,9.00%,23.40%
"19 Alexander, Josh SFA",31,31,33.9,23.6,106.2,86.9,0.538,0.49,31.1,58.4,8.1,10.4,8.4,5.80%,2.10%,1.60%,11.20%
"20 Blair, DeJuan PITT",35,35,27.3,25.6,129.9,87,0.608,0.593,42.5,0,23.7,27.7,23.6,9.10%,3.40%,3.80%,8.90%
